month,day,year,hi,lo,liquid,snow,wind
5,18,2015,54,39,0.026666666666666665,0.0,6.583351659162722
10,13,2015,51,36,0.03333333333333333,0.0,6.083369020474774
4,27,2015,46,32,0.0,0.0,9.833250384842417
4,28,2015,47,26,0.03333333333333333,0.051666666666666666,10.416671489253348
5,17,2015,48,38,0.31000000000000005,0.0,9.291704765101448
8,3,2015,73,51,0.01,0.0,6.041620852093196
6,6,2015,70,52,0.0,0.0,6.375015914536048
10,11,2015,47,36,0.0,0.0,13.791710552205465
11,26,2015,22,4,0.0,0.0,5.541696084445422
11,29,2015,37,24,0.0,0.0,3.166645447285269
6,3,2015,48,39,0.2833333333333333,0.0,7.916700424773435
5,23,2015,63,44,0.24000000000000002,0.0,6.250014467760043
10,8,2015,55,45,0.0,0.0,6.166645447285269
10,6,2015,58,42,0.0,0.0,6.124978298359935
11,23,2015,28,16,0.12,1.836666666666667,7.875021701640065
6,25,2015,71,51,0.0,0.0,5.999988425791966
8,5,2015,54,41,0.11333333333333333,0.0,9.958286554242527
5,29,2015,63,43,0.09833333333333334,0.0,6.5833400849546875
5,24,2015,56,40,0.2033333333333333,0.0,5.666628085973217
8,6,2015,62,42,0.034999999999999996,0.0,9.625053530712162
8,8,2015,66,48,0.18166666666666667,0.0,5.291635319853239
12,5,2015,29,25,0.7133333333333334,10.693333333333332,12.749973958031923
11,17,2015,33,16,0.84,8.61,29.583351659162727
7,14,2015,63,45,0.0,0.0,4.916665702149331
7,9,2015,80,57,0.06333333333333334,0.0,3.0833111494346004
11,20,2015,28,6,0.0,0.0,7.416683063461383
12,6,2015,34,26,0.5766666666666667,8.693333333333333,12.708295234898552
5,30,2015,65,40,0.0,0.0,5.583316936538618
6,28,2015,78,59,0.08666666666666667,0.0,8.583316936538619
10,1,2015,62,39,0.0,0.0,3.7916295327492215
6,18,2015,57,43,0.08166666666666667,0.0,8.208266299378465
7,3,2015,80,56,0.0,0.0,6.041644000509265
11,14,2015,32,24,0.7066666666666667,7.753333333333333,13.208382041458814
5,4,2015,51,24,0.023333333333333334,0.03333333333333333,9.04158612946909
5,3,2015,49,33,0.0,0.0,3.333290894570539
8,15,2015,57,42,0.15333333333333335,0.0,9.666685957013392
8,17,2015,66,49,0.0,0.0,11.208301022002571
5,9,2015,55,36,0.0,0.0,3.541626639197213
9,4,2015,48,34,0.02,0.24,5.541580342365073
7,5,2015,73,53,0.0,0.0,14.333476081899098
11,8,2015,32,18,0.19333333333333333,1.96,5.875010127432031
8,18,2015,69,52,0.0,0.0,9.583409530202896
11,11,2015,28,17,0.11,1.3766666666666665,15.00004629683214
6,21,2015,62,44,0.0,0.0,10.333429785066956
11,5,2015,27,17,0.06666666666666667,0.71,8.708364680146762
7,26,2015,52,38,0.15666666666666668,0.0,8.749973958031921
5,15,2015,52,38,0.03,0.0,6.6666165117651826
9,2,2015,46,29,0.055,0.43,10.625007233880023
5,10,2015,54,36,0.041666666666666664,0.0,5.1666338730772345
8,20,2015,67,45,0.0016666666666666668,0.0,11.458280767138508
9,1,2015,50,37,0.17666666666666667,0.065,15.083334297850671
9,15,2015,43,30,0.05,0.44,7.624984085463953
10,29,2015,38,27,0.06833333333333333,0.34,10.666628085973217
7,28,2015,67,45,0.0,0.0,6.416648340837278
8,30,2015,46,37,0.27666666666666667,0.0,12.249991319343973
8,27,2015,68,47,0.0,0.0,7.0416671489253355
7,31,2015,80,50,0.0,0.0,5.374992766119979
11,2,2015,30,24,0.12666666666666668,0.3733333333333333,6.541684510237387
7,17,2015,65,47,0.0,0.0,18.041690297341404
10,27,2015,43,33,0.0,0.0,6.4583154897626125
8,29,2015,52,37,0.5750000000000001,0.0,15.666697531221427
10,24,2015,44,29,0.0,0.0,3.8332966816745566
9,8,2015,50,42,0.06,0.0,8.91666570214933
10,22,2015,42,30,0.0,0.0,6.875033275848101
6,9,2015,70,47,0.0,0.0,7.666639660181253
7,22,2015,59,42,0.0,0.0,8.166668595701339
6,15,2015,62,45,0.05,0.0,3.541649787613283
9,19,2015,52,46,0.0,0.0,17.00004629683214
6,12,2015,51,36,0.0,0.0,14.583340084954688
10,17,2015,56,42,0.043333333333333335,0.0,4.249991319343974
6,2,2015,45,37,0.5449999999999999,0.0,7.833296681674557
10,15,2015,53,41,0.0,0.0,6.208324170418639
11,30,2015,41,16,0.0,0.0,3.6249725112559177
4,25,2015,31,21,0.335,3.368333333333333,8.083276426810496
5,20,2015,58,41,0.0,0.0,5.583328510746653
5,19,2015,57,40,0.06,0.0,5.749985532239958
10,12,2015,48,38,0.06333333333333334,0.2,14.16666859570134
4,26,2015,39,28,0.011666666666666667,0.13999999999999999,6.958274980034491
8,1,2015,76,54,0.0,0.0,4.999976851583931
5,25,2015,50,41,0.31333333333333335,0.0,11.25000289355201
11,24,2015,21,2,0.15,2.0999999999999996,15.541638213405248
8,2,2015,79,59,0.0,0.0,5.666628085973217
10,10,2015,53,31,0.41,0.02,16.833285107466523
11,27,2015,33,18,0.0,0.0,2.2500144677600438
6,5,2015,64,48,0.0,0.0,7.125001446776005
11,21,2015,32,22,0.0,0.0,4.708341531730691
6,27,2015,80,65,0.0016666666666666668,0.0,4.916665702149331
7,10,2015,74,54,0.12666666666666665,0.0,5.749973958031922
5,31,2015,61,46,0.0,0.0,3.750020254864061
5,26,2015,52,41,0.3916666666666667,0.0,7.499971064479913
6,24,2015,64,47,0.0,0.0,4.6666165117651826
10,5,2015,59,37,0.0,0.0,2.5416034907811436
8,4,2015,66,44,0.0,0.0,10.33331404298661
7,12,2015,60,45,0.15833333333333335,0.0,6.333337191402679
8,14,2015,65,44,0.6666666666666666,0.0,8.749950809615852
12,3,2015,29,24,0.8533333333333333,12.846666666666666,15.95836757369877
12,4,2015,30,21,0.07666666666666667,1.1666666666666665,11.375015914536048
8,11,2015,76,57,0.03333333333333333,0.0,3.1249898725679697
6,30,2015,70,52,0.0,0.0,8.999988425791965
10,3,2015,51,37,0.041666666666666664,0.425,20.041782891005685
7,15,2015,65,46,0.0,0.0,7.7499623838238865
11,18,2015,22,18,0.04,0.5133333333333333,15.166726466741514
7,1,2015,73,54,0.0,0.0,5.708376254354795
11,12,2015,30,30,0.22,2.5466666666666664,14.083230129978357
5,6,2015,36,27,0.07999999999999999,0.24,10.708272086482483
6,20,2015,56,42,0.0,0.0,8.583351659162723
6,17,2015,63,44,0.0,0.0,8.166668595701339
8,13,2015,78,55,0.03833333333333333,0.0,8.33329089457054
5,5,2015,36,25,0.07333333333333333,0.7433333333333333,9.12503616940011
5,11,2015,52,35,0.09833333333333333,0.0,7.583316936538618
9,6,2015,48,34,0.02,0.12,5.999965277375896
12,8,2015,38,28,0.8233333333333335,7.593333333333334,17.833412423754908
8,23,2015,66,44,0.0,0.0,4.583316936538617
8,16,2015,64,46,0.01,0.0,9.91671199898147
9,5,2015,53,32,0.04,0.39,12.291681616685379
11,9,2015,30,15,0.03666666666666667,0.46,9.916642553733261
6,23,2015,63,44,0.05499999999999999,0.0,7.166691744117409
7,6,2015,73,56,0.0,0.0,5.125001446776005
7,24,2015,62,46,0.08833333333333333,0.0,7.375004340328013
8,26,2015,70,52,0.0,0.0,3.4583154897626134
11,3,2015,31,16,0.01,0.12,10.749962383823888
7,27,2015,58,37,0.018333333333333333,0.0,10.458373360802788
11,6,2015,38,34,0.05333333333333334,0.53,7.916596256901122
9,3,2015,43,27,0.2416666666666667,2.171666666666667,5.749973958031922
5,12,2015,48,34,0.08166666666666668,0.0,7.625018808088057
10,31,2015,41,28,0.8683333333333333,5.228333333333333,16.833319830090627
8,28,2015,58,47,0.06833333333333333,0.0,9.250026041968079
9,9,2015,59,45,0.0,0.0,8.124978298359936
8,25,2015,67,49,0.0,0.0,4.791687403789396
10,28,2015,36,30,0.13,1.005,5.8333314042986615
9,12,2015,71,48,0.0,0.0,7.041597703677126
7,29,2015,70,49,0.0,0.0,8.416694637669417
7,23,2015,64,43,0.0,0.0,6.666639660181253
7,18,2015,72,53,0.0,0.0,8.375027488744083
10,26,2015,39,27,0.21,1.9933333333333332,5.500005787104017
9,10,2015,67,50,0.0,0.0,5.5416497876132835
6,11,2015,64,41,0.0,0.0,12.208335744626675
10,16,2015,61,29,0.0,0.0,4.666662808597322
9,16,2015,46,35,0.06666666666666667,0.585,4.541568768157039
6,8,2015,72,52,0.0,0.0,9.33331404298661
10,21,2015,49,33,0.0,0.0,8.250026041968079
7,20,2015,73,46,0.0,0.0,9.583340084954687
4,29,2015,39,25,0.03833333333333334,0.24,10.166657021493304
5,16,2015,51,38,0.16666666666666669,0.0,9.958379147906806
4,30,2015,42,29,0.0016666666666666668,0.02,10.08328800101853
6,14,2015,57,41,0.0,0.0,8.083403743098879
10,19,2015,48,36,0.07666666666666667,0.0,6.958321276866631
11,28,2015,38,25,0.0,0.0,2.2916700424773433
5,22,2015,59,40,0.35333333333333333,0.0,3.916654127941296
6,4,2015,55,43,0.07,0.0,8.0416555747173
10,9,2015,54,40,0.07166666666666667,0.0,10.375004340328013
10,14,2015,52,36,0.0,0.0,4.541672936029352
6,1,2015,56,41,0.485,0.0,4.083218555770321
4,24,2015,33,22,0.125,1.175,5.249968170927904
5,21,2015,60,43,0.0033333333333333335,0.0,3.958355999490735
5,27,2015,60,44,0.30833333333333335,0.0,6.791652681165291
10,4,2015,55,36,0.0,0.0,5.625018808088058
8,7,2015,67,49,0.0,0.0,4.208324170418639
11,25,2015,17,3,0.0,0.0,17.916746721605577
6,7,2015,74,54,0.0,0.0,3.874952256391856
7,8,2015,77,58,0.0,0.0,4.416694637669418
8,10,2015,72,58,0.0,0.0,5.416694637669417
12,7,2015,35,29,0.6266666666666667,7.496666666666667,18.708260512274446
10,2,2015,52,37,0.03666666666666667,0.0,10.04163242630123
11,19,2015,25,8,0.0,0.0,5.625018808088058
6,29,2015,63,54,0.2366666666666667,0.0,10.541672936029354
6,26,2015,78,58,0.0,0.0,5.666674382805357
10,7,2015,52,43,0.09999999999999999,0.0,3.4583386381786827
7,11,2015,67,49,0.3766666666666667,0.0,7.249991319343974
11,22,2015,33,23,0.0033333333333333335,0.04,6.0833227236426355
5,28,2015,61,45,0.18,0.0,5.708318383314622
