month,day,year,hi,lo,liquid,snow,wind
5,18,2015,65,48,0.0,0.0,5.3750043403280126
10,13,2015,57,45,0.0,0.0,7.583351659162722
4,27,2015,65,45,0.0,0.0,4.625018808088057
4,28,2015,56,38,0.021666666666666667,0.0,8.166610724661165
5,17,2015,58,48,0.030000000000000002,0.0,5.75004340328013
8,3,2015,77,59,0.0,0.0,11.749997106447992
6,6,2015,78,58,0.0,0.0,6.041644000509265
10,11,2015,55,43,0.0,0.0,7.91673514739754
11,26,2015,31,14,0.0,0.0,2.166680169909374
11,29,2015,29,18,0.0,0.0,1.1666685957013392
6,3,2015,58,46,0.055,0.0,10.124978298359935
5,23,2015,69,51,0.03833333333333333,0.0,6.791652681165291
10,8,2015,60,52,0.0,0.0,2.5000057871040173
10,6,2015,68,49,0.0,0.0,3.8749638305998912
11,23,2015,37,28,0.043333333333333335,0.44,2.666662808597322
6,25,2015,87,63,0.0,0.0,7.625018808088057
8,5,2015,69,53,0.0,0.0,14.624984085463952
5,29,2015,73,52,0.02,0.0,4.916630979525226
5,24,2015,66,49,0.02,0.0,7.916619405317191
8,6,2015,73,51,0.0,0.0,9.791687403789396
8,8,2015,76,56,0.045,0.0,6.208289447794535
12,5,2015,33,29,0.6333333333333334,5.586666666666668,4.749985532239957
11,17,2015,49,30,1.2733333333333334,0.8533333333333333,20.70836468014676
7,14,2015,75,54,0.0,0.0,8.791664255373327
7,9,2015,89,67,0.0,0.0,4.749950809615853
11,20,2015,35,18,0.0,0.0,4.2916931908934135
12,6,2015,38,33,0.5266666666666666,3.25,3.375015914536048
5,30,2015,74,50,0.0,0.0,10.083334297850671
6,28,2015,95,66,0.011666666666666667,0.0,10.083264852602461
10,1,2015,70,48,0.0,0.0,4.791606384333152
6,18,2015,71,53,0.0,0.0,7.958321276866631
7,3,2015,93,65,0.0,0.0,10.583340084954688
11,14,2015,45,33,0.4633333333333333,0.0,3.9166657021493303
5,4,2015,63,38,0.0033333333333333335,0.0,5.3749001724557
5,3,2015,61,42,0.0,0.0,4.08328800101853
8,15,2015,67,46,0.0,0.0,12.95836757369877
8,17,2015,79,55,0.0,0.0,7.125013020984039
5,9,2015,65,41,0.0,0.0,3.4583386381786827
9,4,2015,64,45,0.02,0.0,5.37492332087177
7,5,2015,87,64,0.0,0.0,5.250049190384148
11,8,2015,46,30,0.09,0.0,3.8749869790159606
8,18,2015,84,57,0.0,0.0,3.666685957013392
