month,day,year,hi,lo,liquid,snow,wind
4,25,2015,39,27,0.1933333333333333,1.766666666666667,27.6664544728527
4,26,2015,58,34,0.0,0.0,47.166888505654
4,27,2015,65,41,0.0,0.0,18.25004919038415
4,28,2015,63,34,0.01,0.12,27.99998842579197
4,29,2015,56,33,0.0,0.0,19.62497251125592
4,30,2015,62,33,0.0,0.0,12.625088253336267
5,1,2015,62,36,0.0,0.0,7.166633873077235
5,2,2015,60,36,0.0,0.0,14.16673804094955
5,3,2015,58,35,0.07,0.51,10.083369020474775
5,4,2015,57,31,0.09,0.0,14.791455919628701
5,5,2015,53,25,0.0,0.0,27.12505931781618
5,6,2015,62,21,0.03,0.31,22.791756849037604
5,7,2015,44,30,0.05,0.36,33.33333719140268
5,8,2015,56,33,0.02,0.12,20.666766976469635
5,9,2015,22,27,0.0,0.0,12.333406636650889
5,10,2015,57,33,0.25833333333333336,1.875,9.749811919119434
5,11,2015,48,24,0.29000000000000004,2.07,24.166541279412957
5,12,2015,43,22,0.04666666666666667,0.5266666666666666,19.208370467250777
5,13,2015,46,22,0.03166666666666667,0.2533333333333333,20.499971064479915
5,14,2015,45,21,0.10833333333333332,0.9883333333333334,11.625076679128233
5,15,2015,51,23,0.3416666666666666,2.766666666666667,17.750031829072096
5,16,2015,55,25,0.0,0.0,9.91666570214933
5,17,2015,54,25,0.08166666666666667,0.67,6.916700424773436
5,18,2015,44,28,0.6383333333333334,5.071666666666666,5.5416845102373875
5,19,2015,47,30,0.3983333333333334,3.036666666666666,3.708364680146761
5,20,2015,48,30,0.625,4.505000000000001,9.83335455271473
5,21,2015,47,32,0.24000000000000002,1.74,8.249991319343975
5,22,2015,44,28,0.17833333333333334,1.8,11.083276426810496
5,23,2015,57,35,0.0,0.0,10.416567321381034
5,24,2015,65,38,0.0,0.0,11.666743828053567
5,25,2015,37,33,0.14,1.02,8.458350212386717
5,26,2015,33,33,0.06,0.4,14.500017361312052
5,27,2015,35,36,0.02,0.0,13.00004629683214
5,28,2015,38,38,0.02,0.12,8.708353105938727
5,29,2015,68,46,0.02,0.0,6.416671489253348
5,30,2015,43,41,0.02,0.12,28.541719232861492
5,31,2015,40,30,0.011666666666666667,0.13999999999999999,36.20832417041864
6,1,2015,29,27,0.29,1.52,28.291716339309485
6,2,2015,28,28,0.14166666666666666,1.145,24.00006944524821
6,3,2015,31,27,0.021666666666666667,0.26,13.041701871549439
6,4,2015,32,33,0.21833333333333335,1.63,11.12494357573583
