month,day,year,time-of-day,high,low,rain,snow,wind-speed,wind-direction
11,12,2015,AM,17.6,14.0,0.0,0.03280839916666667,37.2822714,3.5342917352885173
11,12,2015,PM,21.2,21.2,0.0,0.4921259875,55.9234071,3.5342917352885173
11,12,2015,night,24.8,23.0,0.0,2.952755925,62.137119,3.5342917352885173
11,13,2015,AM,23.0,23.0,0.0,1.3451443658333335,59.030263049999995,3.5342917352885173
11,13,2015,PM,23.0,21.2,0.0,1.1482939708333333,55.9234071,3.5342917352885173
11,13,2015,night,19.4,15.8,0.0,1.2467191683333334,37.2822714,3.5342917352885173
11,14,2015,AM,21.2,21.2,0.0,0.3608923908333333,40.389127349999995,3.9269908169872414
11,14,2015,PM,21.2,21.2,0.0,0.6561679833333334,55.9234071,3.9269908169872414
11,14,2015,night,19.4,14.0,0.0,0.984251975,40.389127349999995,4.319689898685965
11,15,2015,AM,8.599999999999998,3.1999999999999993,0.0,0.45931758833333336,18.6411357,3.5342917352885173
11,15,2015,PM,3.1999999999999993,1.3999999999999986,0.0,0.03280839916666667,24.8548476,2.748893571891069
11,15,2015,night,5.0,-0.3999999999999986,0.0,0.0,37.2822714,2.356194490192345
11,16,2015,AM,8.599999999999998,6.800000000000001,0.0,0.0,21.74799165,3.141592653589793
11,16,2015,PM,17.6,14.0,0.0,0.39370079,52.816551149999995,3.5342917352885173
11,16,2015,night,23.0,21.2,0.0,2.1325459458333333,59.030263049999995,3.141592653589793
11,17,2015,AM,23.0,19.4,0.0,2.3293963408333336,83.88511065,3.5342917352885173
11,17,2015,PM,15.8,5.0,0.0,2.9199475258333334,83.88511065,3.141592653589793
11,17,2015,night,3.1999999999999993,1.3999999999999986,0.0,0.8202099791666667,55.9234071,2.748893571891069
11,18,2015,AM,3.1999999999999993,1.3999999999999986,0.0,0.0984251975,37.2822714,2.748893571891069
11,18,2015,PM,5.0,5.0,0.0,0.06561679833333334,27.96170355,2.748893571891069
11,18,2015,night,10.399999999999999,6.800000000000001,0.0,0.13123359666666667,21.74799165,3.141592653589793
11,19,2015,AM,10.399999999999999,10.399999999999999,0.0,0.0,9.32056785,2.748893571891069
11,19,2015,PM,8.599999999999998,6.800000000000001,0.0,0.0,24.8548476,2.748893571891069
11,19,2015,night,10.399999999999999,6.800000000000001,0.0,0.0,27.96170355,1.5707963267948966
11,20,2015,AM,17.6,14.0,0.0,0.0,9.32056785,1.5707963267948966
11,20,2015,PM,19.4,19.4,0.0,0.0,6.2137119,2.356194490192345
11,20,2015,night,23.0,21.2,0.0,0.0,18.6411357,2.748893571891069
11,21,2015,AM,28.4,26.6,0.0,0.0,18.6411357,2.356194490192345
11,21,2015,PM,30.2,30.2,0.0,0.0,9.32056785,2.356194490192345
11,21,2015,night,32.0,30.2,0.0,0.0,9.32056785,3.141592653589793
11,22,2015,AM,30.2,30.2,0.0,0.0,9.32056785,2.748893571891069
11,22,2015,PM,28.4,26.6,0.0,0.0,12.4274238,3.141592653589793
11,22,2015,night,24.8,19.4,0.0,0.0,18.6411357,3.5342917352885173
11,23,2015,AM,19.4,17.6,0.0,0.06561679833333334,24.8548476,3.5342917352885173
11,23,2015,PM,15.8,14.0,0.0,0.13123359666666667,31.0685595,3.9269908169872414
11,23,2015,night,12.2,10.399999999999999,0.0,0.5249343866666667,18.6411357,3.9269908169872414
11,24,2015,AM,10.399999999999999,10.399999999999999,0.0,0.0984251975,9.32056785,0.39269908169872414
11,24,2015,PM,10.399999999999999,8.599999999999998,0.0,0.0,9.32056785,0.7853981633974483
11,24,2015,night,15.8,8.599999999999998,0.0,0.0,34.175415449999996,0.7853981633974483
11,25,2015,AM,15.8,15.8,0.0,0.0,31.0685595,0.7853981633974483
11,25,2015,PM,17.6,17.6,0.0,0.0,24.8548476,0.7853981633974483
11,25,2015,night,17.6,17.6,0.0,0.0,15.53427975,0.7853981633974483
11,26,2015,AM,19.4,19.4,0.0,0.0,9.32056785,0.39269908169872414
11,26,2015,PM,21.2,19.4,0.0,0.0,6.2137119,0.7853981633974483
11,26,2015,night,24.8,21.2,0.0,0.0,9.32056785,0.39269908169872414
11,27,2015,AM,28.4,28.4,0.0,0.0,12.4274238,0.39269908169872414
11,27,2015,PM,28.4,28.4,0.0,0.0,9.32056785,0.39269908169872414
11,27,2015,night,28.4,26.6,0.0,0.0,6.2137119,0.0
