month,day,year,time-of-day,high,low,rain,snow,wind-speed,wind-direction
11,12,2015,AM,28.4,24.8,0.0,0.03280839916666667,18.6411357,3.9269908169872414
11,12,2015,PM,33.8,32.0,0.0,0.196850395,37.2822714,3.9269908169872414
11,12,2015,night,37.4,35.6,3.425196873,0.3280839916666667,52.816551149999995,3.9269908169872414
11,13,2015,AM,35.6,35.6,1.850393713,0.0,46.602839249999995,3.9269908169872414
11,13,2015,PM,37.4,35.6,1.220472449,0.196850395,46.602839249999995,3.9269908169872414
11,13,2015,night,32.0,30.2,0.0,0.5577427858333334,18.6411357,3.9269908169872414
11,14,2015,AM,35.6,33.8,0.0,0.16404199583333334,15.53427975,3.9269908169872414
11,14,2015,PM,35.6,35.6,0.472440948,0.06561679833333334,31.0685595,4.319689898685965
11,14,2015,night,35.6,21.2,0.0,0.42650918916666675,24.8548476,4.71238898038469
11,15,2015,AM,19.4,19.4,0.0,0.26246719333333335,15.53427975,2.748893571891069
11,15,2015,PM,17.6,17.6,0.0,0.0,15.53427975,2.748893571891069
11,15,2015,night,19.4,17.6,0.0,0.0,15.53427975,2.356194490192345
11,16,2015,AM,23.0,21.2,0.0,0.0,12.4274238,3.9269908169872414
11,16,2015,PM,30.2,26.6,0.0,0.16404199583333334,31.0685595,4.319689898685965
11,16,2015,night,35.6,32.0,1.299212607,0.6889763825,40.389127349999995,3.5342917352885173
11,17,2015,AM,37.4,35.6,0.944881896,0.6233595841666667,68.35083089999999,3.5342917352885173
11,17,2015,PM,33.8,21.2,0.0,1.2139107691666668,55.9234071,3.141592653589793
11,17,2015,night,19.4,19.4,0.0,0.6561679833333334,27.96170355,2.748893571891069
11,18,2015,AM,19.4,19.4,0.0,0.0,12.4274238,2.748893571891069
11,18,2015,PM,21.2,21.2,0.0,0.0,9.32056785,3.5342917352885173
11,18,2015,night,24.8,23.0,0.0,0.26246719333333335,9.32056785,3.5342917352885173
11,19,2015,AM,24.8,24.8,0.0,0.0,3.10685595,1.9634954084936207
11,19,2015,PM,23.0,21.2,0.0,0.0,12.4274238,2.356194490192345
