month,day,year,time-of-day,high,low,rain,snow,wind-speed,wind-direction
11,12,2015,AM,26.6,24.8,0.0,0.13123359666666667,37.2822714,3.9269908169872414
11,12,2015,PM,30.2,28.4,0.0,0.45931758833333336,43.4959833,3.9269908169872414
11,12,2015,night,33.8,32.0,0.0,2.5262467358333334,43.4959833,3.5342917352885173
11,13,2015,AM,30.2,30.2,0.0,0.78740158,40.389127349999995,3.5342917352885173
11,13,2015,PM,30.2,28.4,0.0,0.26246719333333335,46.602839249999995,3.5342917352885173
11,13,2015,night,26.6,21.2,0.0,0.06561679833333334,24.8548476,3.5342917352885173
11,14,2015,AM,24.8,24.8,0.0,0.42650918916666675,18.6411357,4.319689898685965
11,14,2015,PM,26.6,24.8,0.0,0.7545931808333334,31.0685595,4.319689898685965
11,14,2015,night,23.0,12.2,0.0,2.0013123491666667,9.32056785,5.105088062083414
11,15,2015,AM,12.2,12.2,0.0,0.06561679833333334,24.8548476,2.748893571891069
11,15,2015,PM,12.2,12.2,0.0,0.13123359666666667,21.74799165,2.356194490192345
11,15,2015,night,15.8,12.2,0.0,0.03280839916666667,27.96170355,2.356194490192345
11,16,2015,AM,21.2,19.4,0.0,0.16404199583333334,27.96170355,3.9269908169872414
11,16,2015,PM,30.2,24.8,0.0,0.3280839916666667,37.2822714,3.5342917352885173
11,16,2015,night,32.0,28.4,0.0,1.771653555,52.816551149999995,3.141592653589793
11,17,2015,AM,32.0,30.2,0.0,1.377952765,68.35083089999999,3.5342917352885173
11,17,2015,PM,19.4,12.2,0.0,2.198162744166667,55.9234071,3.141592653589793
11,17,2015,night,14.0,12.2,0.0,0.45931758833333336,34.175415449999996,2.748893571891069
11,18,2015,AM,15.8,14.0,0.0,0.0984251975,18.6411357,3.141592653589793
11,18,2015,PM,17.6,15.8,0.0,0.0984251975,12.4274238,3.141592653589793
11,18,2015,night,21.2,19.4,0.0,0.3608923908333333,12.4274238,3.141592653589793
11,19,2015,AM,21.2,21.2,0.0,0.0,12.4274238,1.9634954084936207
11,19,2015,PM,21.2,21.2,0.0,0.0,21.74799165,1.9634954084936207
11,19,2015,night,26.6,23.0,0.0,0.0,18.6411357,1.5707963267948966
11,20,2015,AM,28.4,28.4,0.0,0.0,9.32056785,1.5707963267948966
11,20,2015,PM,30.2,30.2,0.0,0.0,3.10685595,3.141592653589793
11,20,2015,night,35.6,32.0,0.0,0.0,9.32056785,2.748893571891069
11,21,2015,AM,37.4,35.6,0.0,0.0,9.32056785,2.356194490192345
