month,day,year,time-of-day,high,low,rain,snow,wind-speed,wind-direction
11,12,2015,AM,35.6,35.6,0.0,0.196850395,15.53427975,5.105088062083414
11,12,2015,PM,37.4,35.6,1.023622054,0.0,15.53427975,5.105088062083414
11,12,2015,night,48.2,39.2,3.0314960830000004,0.0,18.6411357,5.105088062083414
11,13,2015,AM,42.8,42.8,0.314960632,0.0,12.4274238,3.9269908169872414
11,13,2015,PM,41.0,39.2,0.078740158,0.0,9.32056785,4.319689898685965
11,13,2015,night,39.2,37.4,0.118110237,0.0,9.32056785,4.71238898038469
11,14,2015,AM,39.2,39.2,0.0,0.0,3.10685595,5.890486225480862
11,14,2015,PM,39.2,37.4,0.157480316,0.0,3.10685595,1.5707963267948966
11,14,2015,night,37.4,32.0,0.236220474,0.0984251975,6.2137119,1.5707963267948966
11,15,2015,AM,32.0,32.0,0.0,0.03280839916666667,3.10685595,3.5342917352885173
11,15,2015,PM,32.0,30.2,0.0,0.0,3.10685595,3.5342917352885173
11,15,2015,night,30.2,28.4,0.0,0.0,0.0,5.105088062083414
11,16,2015,AM,32.0,32.0,0.0,0.03280839916666667,9.32056785,5.105088062083414
11,16,2015,PM,35.6,33.8,0.078740158,0.0984251975,12.4274238,5.105088062083414
11,16,2015,night,44.6,39.2,1.299212607,0.0,9.32056785,4.319689898685965
11,17,2015,AM,46.4,42.8,1.692913397,0.0,31.0685595,3.9269908169872414
11,17,2015,PM,35.6,32.0,0.0,0.196850395,24.8548476,2.748893571891069
11,17,2015,night,32.0,30.2,0.0,0.0,3.10685595,3.141592653589793
11,18,2015,AM,33.8,32.0,0.0,0.0,3.10685595,4.319689898685965
11,18,2015,PM,32.0,32.0,0.0,0.0,3.10685595,4.319689898685965
11,18,2015,night,32.0,30.2,0.0,0.0,0.0,4.319689898685965
11,19,2015,AM,35.6,32.0,0.0,0.0,3.10685595,0.7853981633974483
11,19,2015,PM,33.8,32.0,0.0,0.0,6.2137119,0.7853981633974483
11,19,2015,night,32.0,30.2,0.0,0.0,3.10685595,1.1780972450961724
11,20,2015,AM,37.4,32.0,0.0,0.0,3.10685595,0.7853981633974483
11,20,2015,PM,37.4,37.4,0.0,0.0,3.10685595,0.39269908169872414
11,20,2015,night,37.4,37.4,0.0,0.0,3.10685595,1.1780972450961724
11,21,2015,AM,42.8,39.2,0.0,0.0,3.10685595,0.7853981633974483
11,21,2015,PM,44.6,44.6,0.0,0.0,0.0,0.39269908169872414
11,21,2015,night,46.4,46.4,0.0,0.0,0.0,5.890486225480862
11,22,2015,AM,48.2,48.2,0.0,0.0,3.10685595,5.497787143782138
11,22,2015,PM,46.4,44.6,0.0,0.0,3.10685595,5.497787143782138
11,22,2015,night,42.8,35.6,0.275590553,0.0,3.10685595,4.71238898038469
11,23,2015,AM,35.6,35.6,0.0,0.06561679833333334,6.2137119,4.71238898038469
11,23,2015,PM,33.8,33.8,0.0,0.0984251975,3.10685595,5.105088062083414
11,23,2015,night,33.8,30.2,0.0,0.13123359666666667,9.32056785,1.1780972450961724
11,24,2015,AM,30.2,28.4,0.0,0.0,12.4274238,1.1780972450961724
11,24,2015,PM,28.4,26.6,0.0,0.0,12.4274238,1.1780972450961724
11,24,2015,night,30.2,26.6,0.0,0.0,12.4274238,1.1780972450961724
11,25,2015,AM,41.0,35.6,0.0,0.0,9.32056785,1.1780972450961724
11,25,2015,PM,39.2,37.4,0.0,0.0,6.2137119,1.1780972450961724
11,25,2015,night,37.4,37.4,0.0,0.0,6.2137119,1.1780972450961724
11,26,2015,AM,42.8,39.2,0.0,0.0,6.2137119,0.7853981633974483
11,26,2015,PM,42.8,41.0,0.0,0.0,3.10685595,0.7853981633974483
11,26,2015,night,42.8,41.0,0.0,0.0,6.2137119,1.1780972450961724
11,27,2015,AM,46.4,42.8,0.0,0.0,3.10685595,0.7853981633974483
11,27,2015,PM,46.4,46.4,0.0,0.0,3.10685595,0.7853981633974483
11,27,2015,night,50.0,46.4,0.0,0.0,3.10685595,0.7853981633974483
11,28,2015,AM,50.0,50.0,0.0,0.0,0.0,0.0
11,28,2015,PM,50.0,50.0,0.0,0.0,0.0,5.890486225480862
11,28,2015,night,51.8,48.2,0.0,0.0,3.10685595,4.71238898038469
11,29,2015,AM,48.2,48.2,0.0,0.0,0.0,5.105088062083414
11,29,2015,PM,46.4,46.4,0.0,0.0,3.10685595,4.71238898038469
11,29,2015,night,46.4,42.8,0.0,0.0,3.10685595,5.105088062083414
11,30,2015,AM,41.0,41.0,0.0,0.0,6.2137119,5.105088062083414
11,30,2015,PM,39.2,37.4,0.0,0.0,9.32056785,5.105088062083414
