month,day,year,hi,lo,liquid,snow,wind
4,24,2015,73,43,0.04833333333333333,0.0,6.250014467760043
4,25,2015,65,36,0.08,0.0,11.208312596210604
4,26,2015,70,38,0.0,0.0,16.20840518987488
4,27,2015,77,43,0.0,0.0,5.95836757369877
4,28,2015,84,47,0.0,0.0,4.208358893042744
4,29,2015,85,46,0.0,0.0,3.416671489253348
4,30,2015,85,46,0.0,0.0,4.04167872313337
5,1,2015,86,46,0.0,0.0,4.0417018715494395
5,2,2015,82,48,0.0,0.0,3.249991319343974
5,3,2015,80,46,0.0,0.0,3.6666743828053567
5,4,2015,79,47,0.0,0.0,5.041678723133369
5,5,2015,80,44,0.06333333333333332,0.0,4.958332851074665
5,6,2015,81,40,0.03833333333333333,0.0,3.583293788122548
5,7,2015,59,38,0.13666666666666666,0.0,6.625030382296092
5,8,2015,60,38,0.13333333333333333,0.0,3.625007233880022
5,9,2015,73,38,0.024999999999999998,0.0,5.083345872058705
5,10,2015,77,41,0.0,0.0,4.791664255373327
5,11,2015,79,42,0.0,0.0,4.333337191402678
5,12,2015,75,36,0.0,0.0,9.166657021493306
5,13,2015,71,43,0.0,0.0,6.000034722624105
5,14,2015,59,41,0.06333333333333332,0.0,4.250026041968079
5,15,2015,60,41,0.08333333333333333,0.0,3.3749811919119437
5,16,2015,68,43,0.0,0.0,5.3333487656107135
5,17,2015,67,44,0.043333333333333335,0.0,7.250014467760044
5,18,2015,64,44,0.09,0.0,5.083345872058705
5,19,2015,70,43,0.04833333333333333,0.0,4.000011574208035
5,20,2015,68,44,0.03,0.0,4.7917105522054655
5,21,2015,67,44,0.095,0.0,5.791687403789396
5,22,2015,66,46,0.32333333333333336,0.0,3.958298128450561
5,23,2015,71,49,0.085,0.0,4.708318383314622
5,24,2015,76,48,0.03833333333333333,0.0,4.7500202548640615
5,25,2015,79,48,0.02,0.0,4.000011574208035
5,26,2015,79,48,0.03,0.0,5.125013020984039
5,27,2015,84,49,0.03,0.0,3.458350212386718
5,28,2015,86,54,0.0,0.0,3.583328510746652
5,29,2015,90,55,0.0,0.0,4.8333661269227655
5,30,2015,93,55,0.0,0.0,7.749997106447991
5,31,2015,92,51,0.0,0.0,6.833389275338835
6,1,2015,89,47,0.0,0.0,6.749950809615852
6,2,2015,87,50,0.0,0.0,3.0833227236426346
6,3,2015,88,48,0.0,0.0,5.291658468269309
6,4,2015,75,48,0.15999999999999998,0.0,5.791687403789396
6,5,2015,81,50,0.030000000000000002,0.0,4.916677276357365
6,6,2015,76,51,0.15666666666666668,0.0,4.12498987256797
6,7,2015,83,50,0.02,0.0,3.9583212768666307
6,8,2015,90,54,0.0,0.0,5.125013020984039
6,9,2015,88,57,0.03333333333333333,0.0,6.291681616685378
6,10,2015,80,54,0.145,0.0,5.291658468269309
6,11,2015,88,58,0.028333333333333335,0.0,3.8333082558825913
6,12,2015,91,55,0.01,0.0,6.08333429785067
6,13,2015,97,59,0.0,0.0,7.08333429785067
6,14,2015,98,59,0.0,0.0,3.4999942128959827
6,15,2015,100,60,0.0,0.0,4.2916584682693095
6,16,2015,98,60,0.0,0.0,5.12498987256797
6,17,2015,100,61,0.0,0.0,4.12498987256797
6,18,2015,99,57,0.0,0.0,2.624995659671987
6,19,2015,101,61,0.0,0.0,3.208324170418639
6,20,2015,100,67,0.0,0.0,3.791664255373326
6,21,2015,100,58,0.0,0.0,5.291635319853239
6,22,2015,98,55,0.0,0.0,4.291681616685379
6,23,2015,96,55,0.0,0.0,5.583351659162722
6,24,2015,99,64,0.0,0.0,7.000057871040174
6,25,2015,101,61,0.0,0.0,6.125024595192075
6,26,2015,102,60,0.0,0.0,7.375039062952118
6,27,2015,102,63,0.0,0.0,7.541696084445422
6,28,2015,98,61,0.03,0.0,6.250060764592184
6,29,2015,98,64,0.02,0.0,5.416694637669417
6,30,2015,99,63,0.0,0.0,5.625041956504126
7,1,2015,99,64,0.1,0.0,4.791675829581361
7,2,2015,99,67,0.14333333333333334,0.0,3.0833342978506697
7,3,2015,97,66,0.04,0.0,3.2500144677600438
7,4,2015,97,62,0.03,0.0,6.541684510237387
7,5,2015,91,61,0.06,0.0,4.291681616685379
7,6,2015,92,60,0.05,0.0,6.416671489253348
7,7,2015,91,57,0.04833333333333334,0.0,5.625018808088058
7,8,2015,89,53,0.04,0.0,5.125013020984039
7,9,2015,77,51,0.2,0.0,6.750008680656026
7,10,2015,80,53,0.03,0.0,4.5416845102373875
7,11,2015,85,53,0.0,0.0,4.708376254354795
7,12,2015,87,57,0.0,0.0,5.333371914026783
7,13,2015,91,55,0.0,0.0,3.8333429785066957
7,14,2015,92,58,0.0,0.0,4.750008680656026
7,15,2015,92,55,0.0,0.0,5.666697531221426
7,16,2015,92,56,0.0,0.0,6.166680169909374
7,17,2015,92,55,0.0,0.0,5.375027488744083
7,18,2015,94,57,0.0016666666666666668,0.0,5.2500028935520096
7,19,2015,84,59,0.09166666666666666,0.0,5.583340084954687
7,20,2015,82,58,0.41833333333333333,0.0,5.125024595192074
7,21,2015,85,59,0.38,0.0,3.0833342978506697
7,22,2015,86,57,0.058333333333333334,0.0,4.625018808088057
7,23,2015,87,56,0.0,0.0,4.791675829581361
7,24,2015,88,53,0.0,0.0,4.291670042477343
7,25,2015,92,55,0.0,0.0,4.000011574208035
7,26,2015,92,55,0.0,0.0,4.0833574462667395
7,27,2015,91,50,0.0,0.0,3.916654127941296
7,28,2015,92,56,0.0,0.0,6.375027488744084
7,29,2015,94,60,0.0,0.0,7.375039062952118
7,30,2015,94,63,0.02,0.0,5.958379147906804
7,31,2015,92,63,0.09,0.0,5.0417018715494395
8,1,2015,92,63,0.1,0.0,6.458373360802788
8,2,2015,90,60,0.02,0.0,3.416671489253348
8,3,2015,91,60,0.02,0.0,2.9583444252827005
8,4,2015,91,60,0.0,0.0,5.583351659162722
8,5,2015,95,60,0.0,0.0,4.166691744117409
8,6,2015,92,59,0.011666666666666667,0.0,4.000011574208035
8,7,2015,87,55,0.028333333333333335,0.0,6.125024595192075
8,8,2015,87,55,0.0,0.0,3.7083415317306914
8,9,2015,91,56,0.0,0.0,7.249991319343974
8,10,2015,91,55,0.0,0.0,9.250026041968079
8,11,2015,91,55,0.0,0.0,9.083415317306914
8,12,2015,92,57,0.0,0.0,8.208382041458814
8,13,2015,94,55,0.0,0.0,6.750043403280131
8,14,2015,95,54,0.0,0.0,6.041678723133369
8,15,2015,96,58,0.0,0.0,5.708341531730691
8,16,2015,98,61,0.0,0.0,3.541649787613283
8,17,2015,101,61,0.0,0.0,5.083345872058705
8,18,2015,100,59,0.0,0.0,3.333314042986609
8,19,2015,99,59,0.0,0.0,3.9583328510746654
8,20,2015,98,56,0.0,0.0,3.416671489253348
8,21,2015,96,57,0.0,0.0,4.499994212895983
8,22,2015,96,58,0.0,0.0,5.333371914026783
8,23,2015,96,58,0.0,0.0,5.916677276357365
8,24,2015,96,58,0.0,0.0,5.875021701640066
8,25,2015,92,58,0.0,0.0,8.625018808088058
8,26,2015,93,59,0.0,0.0,5.416671489253348
8,27,2015,95,59,0.0,0.0,3.416671489253348
8,28,2015,95,56,0.0,0.0,5.666685957013392
8,29,2015,94,56,0.0,0.0,5.791664255373326
8,30,2015,90,56,0.0,0.0,4.916677276357365
8,31,2015,91,55,0.0,0.0,6.7916758295813615
9,1,2015,91,54,0.0,0.0,6.91671199898147
9,2,2015,89,52,0.0,0.0,7.083380594682809
9,3,2015,84,48,0.0,0.0,5.416706211877452
9,4,2015,82,45,0.0,0.0,5.666709105429461
9,5,2015,82,43,0.0,0.0,3.833331404298661
9,6,2015,84,44,0.0,0.0,4.9583444252827
9,7,2015,87,50,0.0,0.0,4.0
9,8,2015,92,53,0.0,0.0,4.499994212895983
9,9,2015,94,54,0.0,0.0,3.7499855322399567
9,10,2015,95,57,0.0,0.0,4.0833227236426355
9,11,2015,96,58,0.0,0.0,5.2500028935520096
9,12,2015,94,59,0.0,0.0,6.333360339818749
9,13,2015,88,56,0.07,0.0,4.125024595192074
9,14,2015,81,52,0.02,0.0,5.916677276357365
9,15,2015,78,46,0.008333333333333333,0.0,4.958332851074665
9,16,2015,74,43,0.0,0.0,4.708329957522657
9,17,2015,79,42,0.0,0.0,3.0416787231333697
9,18,2015,82,44,0.0,0.0,3.7500086806560264
9,19,2015,85,50,0.0,0.0,5.125013020984039
9,20,2015,90,48,0.0,0.0,4.166657021493305
10,1,2015,80,46,0.03,0.0,6.583328510746653
10,2,2015,77,44,0.0,0.0,8.666720679637496
10,3,2015,80,44,0.0,0.0,6.541730807069527
10,4,2015,64,42,0.30833333333333335,0.0,5.249991319343974
10,5,2015,65,46,0.13666666666666666,0.0,4.125001446776005
10,6,2015,72,44,0.008333333333333333,0.0,3.0
10,7,2015,79,49,0.0,0.0,5.374992766119979
10,8,2015,83,49,0.0,0.0,5.416648340837279
10,9,2015,87,53,0.0,0.0,5.250026041968079
10,10,2015,85,50,0.0,0.0,5.5000289355200875
10,11,2015,85,50,0.0,0.0,3.9166657021493303
10,12,2015,85,51,0.0,0.0,4.875010127432031
10,13,2015,86,51,0.0,0.0,4.583351659162722
10,14,2015,84,51,0.011666666666666667,0.0,5.458361786594753
10,15,2015,78,52,0.08833333333333333,0.0,6.2916931908934135
10,16,2015,75,49,0.06,0.0,4.208370467250778
10,17,2015,71,48,0.05333333333333333,0.0,1.833342978506696
10,18,2015,67,43,0.07833333333333332,0.0,4.416636766629243
10,19,2015,65,42,0.0,0.0,5.791606384333152
10,20,2015,66,43,0.0,0.0,11.791664255373327
10,21,2015,69,43,0.0,0.0,4.3333487656107135
10,22,2015,72,44,0.0,0.0,4.0
10,23,2015,69,44,0.0,0.0,3.5416729360293524
10,24,2015,70,45,0.0,0.0,2.791675829581361
10,25,2015,68,44,0.0,0.0,3.208324170418639
10,26,2015,74,42,0.0,0.0,2.958309702658596
10,27,2015,71,47,0.0,0.0,3.375004340328013
10,28,2015,66,43,0.041666666666666664,0.0,6.208347318834709
10,29,2015,63,39,0.008333333333333333,0.0,10.208358893042744
10,30,2015,68,45,0.0,0.0,10.75004340328013
10,31,2015,76,45,0.0,0.0,4.0416555747173
11,1,2015,73,46,0.0,0.0,3.583328510746652
11,2,2015,55,34,0.13666666666666666,0.0,10.625007233880021
11,3,2015,48,30,0.11666666666666667,0.0,7.875067998472204
11,4,2015,48,23,0.016666666666666666,0.0,7.833354552714731
11,5,2015,55,29,0.0,0.0,2.375004340328013
11,6,2015,60,33,0.0,0.0,2.7916642553733264
11,7,2015,63,30,0.0,0.0,3.416683063461383
11,8,2015,61,36,0.0,0.0,6.0833111494346
11,9,2015,53,31,0.06666666666666667,0.0,7.375039062952118
11,10,2015,51,24,0.023333333333333334,0.12,9.583374807578792
11,11,2015,56,30,0.0,0.0,3.7083299575226567
11,12,2015,59,22,0.0,0.0,2.083322723642635
11,13,2015,63,26,0.0,0.0,2.624995659671987
11,14,2015,63,31,0.0,0.0,4.5000289355200875
11,16,2015,47,27,0.02,0.26,21.45845438025903
11,17,2015,59,33,0.0,0.0,5.3333487656107135
11,18,2015,63,32,0.0,0.0,7.041713445757474
11,19,2015,67,30,0.0,0.0,2.624995659671987
11,20,2015,65,33,0.0,0.0,6.458373360802788
11,21,2015,63,31,0.0,0.0,1.7083299575226565
11,22,2015,65,30,0.0,0.0,4.624995659671987
11,23,2015,63,30,0.0,0.0,4.500005787104017
11,24,2015,60,26,0.013333333333333334,0.0,5.083334297850669
11,25,2015,47,19,0.026666666666666665,0.12,6.5833748075787915
11,26,2015,44,22,0.0,0.0,3.833331404298661
11,27,2015,42,17,0.0,0.0,5.166657021493305
11,28,2015,42,13,0.0,0.0,5.5416845102373875
11,29,2015,46,15,0.0,0.0,3.416671489253348
11,30,2015,52,17,0.0,0.0,3.458315489762613
12,1,2015,55,17,0.0,0.0,3.2500028935520087
12,2,2015,59,27,0.0,0.0,2.2916584682693086
12,3,2015,59,28,0.0,0.0,8.749962383823886
12,4,2015,55,23,0.0,0.0,8.375027488744083
12,5,2015,54,24,0.0,0.0,3.1250014467760043
12,6,2015,61,23,0.0,0.0,6.791733700621536
12,7,2015,64,30,0.0,0.0,2.1666570214933043
12,8,2015,64,30,0.0,0.0,1.9166657021493305
12,9,2015,68,32,0.0,0.0,4.125024595192074
12,10,2015,61,27,0.05666666666666667,0.0,8.250026041968079
12,11,2015,46,22,0.06333333333333334,0.0,6.249979745135939
12,12,2015,47,24,0.0,0.0,7.458350212386717
12,13,2015,53,28,0.06666666666666667,0.04,9.166529705204923
12,14,2015,41,17,0.006666666666666667,0.08,16.000011574208035
12,15,2015,40,13,0.0,0.0,7.458350212386717
12,16,2015,44,23,0.0,0.0,4.458373360802787
12,17,2015,52,22,0.0,0.0,2.4999942128959827
12,18,2015,53,25,0.0,0.0,6.583305362330583
12,19,2015,46,21,0.09,0.0,6.958321276866631
12,20,2015,48,25,0.0033333333333333335,0.0,2.583340084954687
12,21,2015,52,33,0.016666666666666666,0.0,2.7082952348985523
12,22,2015,54,28,0.09000000000000001,0.0,14.708364680146762
12,23,2015,45,21,0.0,0.0,9.375085359784256
12,24,2015,45,20,0.06333333333333332,0.24000000000000002,7.458373360802788
12,25,2015,38,18,0.006666666666666667,0.08,8.99995370316786
12,26,2015,38,12,0.0,0.0,7.500052083936157
12,27,2015,45,15,0.0,0.0,3.1250130209840394
12,28,2015,42,20,0.060000000000000005,0.43,4.999953703167861
12,29,2015,44,17,0.0,0.0,4.125001446776005
12,30,2015,46,18,0.0,0.0,3.4999942128959827
12,31,2015,42,13,0.0,0.0,3.8749985532239957
1,1,2016,40,14,0.0,0.0,2.458327063970648
1,2,2016,47,22,0.0,0.0,1.9583328510746651
1,3,2016,49,25,0.0,0.0,4.375004340328013
1,4,2016,48,27,0.03333333333333333,0.0,7.708353105938727
1,5,2016,46,22,0.26333333333333336,0.0,7.2916931908934135
1,6,2016,43,22,0.14,0.10333333333333333,6.000034722624105
1,7,2016,39,19,0.023333333333333334,0.2533333333333333,4.499994212895983
1,8,2016,43,22,0.0,0.0,4.416694637669418
1,9,2016,44,21,0.04666666666666667,0.0,3.999988425791965
1,10,2016,44,22,0.013333333333333334,0.0,3.9167004247734347
