month,day,year,hi,lo,liquid,snow,wind
4,24,2015,33,22,0.125,1.175,5.249968170927904
4,25,2015,31,21,0.335,3.368333333333333,8.083276426810496
4,26,2015,39,28,0.011666666666666667,0.13999999999999999,6.958274980034491
4,27,2015,46,32,0.0,0.0,9.833250384842417
4,28,2015,47,26,0.03333333333333333,0.051666666666666666,10.416671489253348
4,29,2015,39,25,0.03833333333333334,0.24,10.166657021493304
4,30,2015,42,29,0.0016666666666666668,0.02,10.08328800101853
5,1,2015,43,25,0.018333333333333333,0.0,11.624960937047883
5,2,2015,43,26,0.0,0.0,9.833366126922765
5,3,2015,49,33,0.0,0.0,3.333290894570539
5,4,2015,51,24,0.023333333333333334,0.03333333333333333,9.04158612946909
5,5,2015,36,25,0.07333333333333333,0.7433333333333333,9.12503616940011
5,6,2015,36,27,0.07999999999999999,0.24,10.708272086482483
5,7,2015,48,31,0.0,0.0,9.87496383059989
5,8,2015,50,31,0.0,0.0,13.916793018437714
5,9,2015,55,36,0.0,0.0,3.541626639197213
5,10,2015,54,36,0.041666666666666664,0.0,5.1666338730772345
5,11,2015,52,35,0.09833333333333333,0.0,7.583316936538618
5,12,2015,48,34,0.08166666666666668,0.0,7.625018808088057
5,13,2015,43,31,0.3616666666666667,1.1099999999999999,7.0000115742080355
5,14,2015,45,35,0.2733333333333333,1.5583333333333333,6.374981191911943
5,15,2015,52,38,0.03,0.0,6.6666165117651826
5,16,2015,51,38,0.16666666666666669,0.0,9.958379147906806
5,17,2015,48,38,0.31000000000000005,0.0,9.291704765101448
5,18,2015,54,39,0.026666666666666665,0.0,6.583351659162722
5,19,2015,57,40,0.06,0.0,5.749985532239958
5,20,2015,58,41,0.0,0.0,5.583328510746653
5,21,2015,60,43,0.0033333333333333335,0.0,3.958355999490735
5,22,2015,59,40,0.35333333333333333,0.0,3.916654127941296
5,23,2015,63,44,0.24000000000000002,0.0,6.250014467760043
5,24,2015,56,40,0.2033333333333333,0.0,5.666628085973217
5,25,2015,50,41,0.31333333333333335,0.0,11.25000289355201
5,26,2015,52,41,0.3916666666666667,0.0,7.499971064479913
5,27,2015,60,44,0.30833333333333335,0.0,6.791652681165291
5,28,2015,61,45,0.18,0.0,5.708318383314622
5,29,2015,63,43,0.09833333333333334,0.0,6.5833400849546875
5,30,2015,65,40,0.0,0.0,5.583316936538618
5,31,2015,61,46,0.0,0.0,3.750020254864061
6,1,2015,56,41,0.485,0.0,4.083218555770321
6,2,2015,45,37,0.5449999999999999,0.0,7.833296681674557
6,3,2015,48,39,0.2833333333333333,0.0,7.916700424773435
6,4,2015,55,43,0.07,0.0,8.0416555747173
6,5,2015,64,48,0.0,0.0,7.125001446776005
6,6,2015,70,52,0.0,0.0,6.375015914536048
6,7,2015,74,54,0.0,0.0,3.874952256391856
6,8,2015,72,52,0.0,0.0,9.33331404298661
6,9,2015,70,47,0.0,0.0,7.666639660181253
6,10,2015,67,48,0.0,0.0,6.874998553223996
6,11,2015,64,41,0.0,0.0,12.208335744626675
6,12,2015,51,36,0.0,0.0,14.583340084954688
