month,day,year,hi,lo,liquid,snow,wind
12,20,2015,56,40,0.0,0.0,6.541707658653457
12,21,2015,57,46,0.0,0.0,3.749950809615852
12,22,2015,61,49,0.0,0.0,13.541672936029352
12,23,2015,59,40,0.0,0.0,10.291693190893414
12,24,2015,55,41,0.0,0.0,8.083230129978356
12,25,2015,48,32,0.0,0.0,12.04158612946909
12,26,2015,45,30,0.0,0.0,30.33342978506696
12,27,2015,47,30,0.0,0.0,12.6250998275443
12,28,2015,49,34,0.0,0.0,5.791583235917082
12,29,2015,50,33,0.0,0.0,10.166738040949548
12,30,2015,51,34,0.0,0.0,3.958298128450561
12,31,2015,54,38,0.0,0.0,12.0416555747173
1,1,2016,51,37,0.0,0.0,7.91671199898147
