month,day,year,hi,lo,liquid,snow,wind
4,24,2015,53,41,0.38166666666666665,0.0,10.208358893042744
4,25,2015,56,38,0.07333333333333333,0.0,5.583351659162722
4,26,2015,61,47,0.013333333333333334,0.0,5.5000289355200875
4,27,2015,74,49,0.024999999999999998,0.0,7.2498755772636265
4,28,2015,60,44,0.08333333333333334,0.0,6.708376254354796
4,29,2015,59,43,0.1,0.0,8.083345872058706
4,30,2015,63,43,0.016666666666666666,0.0,5.625030382296091
5,1,2015,64,43,0.0,0.0,5.5000289355200875
5,2,2015,65,42,0.0,0.0,4.500040509728122
5,3,2015,71,44,0.0,0.0,3.500028935520087
5,4,2015,62,44,0.025,0.0,5.375015914536048
5,5,2015,54,43,0.35833333333333334,0.0,7.8749869790159615
5,6,2015,57,41,0.08166666666666667,0.0,5.708364680146762
5,7,2015,68,43,0.0,0.0,5.708364680146762
5,8,2015,73,48,0.0,0.0,4.666685957013391
5,9,2015,78,48,0.0,0.0,5.458361786594753
5,10,2015,72,50,0.011666666666666667,0.0,6.291681616685378
5,11,2015,59,50,0.12333333333333334,0.0,6.333337191402679
5,12,2015,61,48,0.4033333333333333,0.0,6.16657600203706
5,13,2015,55,47,0.7516666666666666,0.0,7.625041956504127
5,14,2015,65,48,0.058333333333333334,0.0,4.875021701640065
5,15,2015,65,50,0.08333333333333333,0.0,4.249956596719869
5,16,2015,57,50,0.058333333333333334,0.0,5.7500202548640615
5,17,2015,66,52,0.02,0.0,3.8749869790159615
5,18,2015,75,52,0.02,0.0,4.791664255373327
5,19,2015,72,50,0.0,0.0,2.8333545527147304
5,20,2015,75,53,0.0,0.0,3.8750332758481
5,21,2015,75,53,0.0,0.0,3.0416787231333697
5,22,2015,66,52,0.05833333333333333,0.0,4.375027488744083
5,23,2015,63,53,0.0,0.0,2.8333545527147304
5,24,2015,63,52,0.0,0.0,2.624995659671987
5,25,2015,64,51,0.01,0.0,4.374981191911943
5,26,2015,64,53,0.0,0.0,3.0416787231333697
5,27,2015,74,56,0.0,0.0,5.041678723133369
5,28,2015,79,57,0.0,0.0,4.458350212386717
5,29,2015,78,53,0.0,0.0,4.916665702149331
5,30,2015,76,53,0.0,0.0,4.749997106447991
5,31,2015,76,53,0.0016666666666666668,0.0,4.708341531730691
6,1,2015,67,52,0.5549999999999999,0.0,5.208335744626674
6,2,2015,58,51,0.26000000000000006,0.0,4.458338638178683
6,3,2015,65,47,0.20166666666666666,0.0,4.666651234389287
6,4,2015,72,49,0.0,0.0,5.458327063970648
6,5,2015,79,56,0.0,0.0,6.000034722624105
6,6,2015,84,58,0.0,0.0,5.208347318834709
6,7,2015,86,54,0.0,0.0,4.250002893552009
6,8,2015,85,55,0.0,0.0,5.875010127432031
6,9,2015,83,53,0.0,0.0,6.125001446776005
6,10,2015,78,53,0.0,0.0,5.5416497876132835
6,11,2015,75,51,0.0,0.0,5.583316936538618
6,12,2015,68,47,0.0,0.0,5.416706211877452
6,13,2015,71,49,0.0,0.0,4.458361786594753
6,14,2015,79,54,0.0,0.0,5.583328510746653
6,15,2015,84,52,0.0,0.0,5.708329957522657
6,16,2015,73,51,0.0,0.0,5.791652681165292
6,17,2015,72,53,0.0,0.0,6.00002314841607
6,18,2015,74,53,0.0016666666666666668,0.0,5.750054977488166
6,19,2015,67,49,0.09666666666666666,0.0,3.8333082558825913
6,20,2015,72,51,0.0,0.0,5.333325617194644
6,21,2015,75,52,0.0,0.0,4.0833227236426355
6,22,2015,74,52,0.0,0.0,5.374992766119979
6,23,2015,76,52,0.0,0.0,4.874998553223996
6,24,2015,81,55,0.0,0.0,4.2916584682693095
6,25,2015,85,60,0.0,0.0,4.458327063970648
6,26,2015,89,63,0.0,0.0,5.6249956596719874
6,27,2015,93,68,0.011666666666666667,0.0,4.5416845102373875
6,28,2015,87,63,0.06333333333333334,0.0,4.1666338730772345
6,29,2015,82,58,0.08499999999999999,0.0,3.5416150649891778
6,30,2015,80,58,0.0,0.0,6.0833574462667395
7,1,2015,92,55,0.0,0.0,3.8750217016400654
7,2,2015,94,60,0.0,0.0,4.458373360802787
7,3,2015,93,59,0.0,0.0,4.375039062952117
7,4,2015,90,58,0.0,0.0,4.041690297341405
7,5,2015,95,60,0.0,0.0,4.125036169400109
7,6,2015,90,59,0.0,0.0,4.8333777011308
7,7,2015,80,58,0.0,0.0,4.8333661269227655
7,8,2015,89,59,0.0,0.0,2.2500144677600438
7,9,2015,87,58,0.0,0.0,2.7082952348985523
7,10,2015,78,55,0.0,0.0,4.875021701640065
7,11,2015,75,55,0.021666666666666667,0.0,4.8749869790159615
7,12,2015,75,56,0.08,0.0,6.0833574462667395
7,13,2015,73,53,0.07666666666666666,0.0,4.791652681165291
7,14,2015,78,53,0.0,0.0,5.416706211877452
7,15,2015,77,52,0.0,0.0,5.458315489762613
7,16,2015,75,50,0.0,0.0,5.458361786594753
7,17,2015,81,57,0.0,0.0,3.8333429785066957
7,18,2015,88,58,0.0,0.0,4.666674382805357
7,19,2015,90,57,0.0,0.0,4.499982638687948
7,20,2015,76,55,0.0,0.0,6.125001446776005
7,21,2015,72,53,0.0,0.0,6.666685957013391
7,22,2015,71,55,0.065,0.0,5.208324170418639
7,23,2015,74,55,0.008333333333333333,0.0,5.208335744626674
7,24,2015,73,55,0.10166666666666667,0.0,4.291681616685379
7,25,2015,69,53,0.15166666666666667,0.0,4.416671489253348
7,26,2015,68,51,0.21833333333333335,0.0,2.166668595701339
7,27,2015,73,53,0.008333333333333333,0.0,3.125024595192074
7,28,2015,80,56,0.0,0.0,3.3750274887440828
7,29,2015,85,56,0.0,0.0,2.7500202548640607
7,30,2015,91,56,0.0,0.0,2.416671489253348
7,31,2015,96,61,0.0,0.0,2.5000173613120524
8,1,2015,91,56,0.0,0.0,3.2500260419680784
8,2,2015,90,58,0.0,0.0,2.791675829581361
8,3,2015,81,55,0.0,0.0,5.375027488744083
8,4,2015,75,52,0.0,0.0,4.7083068091065865
8,5,2015,70,54,0.2116666666666667,0.0,2.499971064479913
8,6,2015,77,50,0.008333333333333333,0.0,5.749997106447991
8,7,2015,79,55,0.0,0.0,4.8749869790159615
8,8,2015,77,57,0.021666666666666667,0.0,3.9583097026585956
8,9,2015,79,54,0.016666666666666666,0.0,3.6250188080880568
8,10,2015,86,56,0.0,0.0,3.5416729360293524
8,11,2015,91,58,0.011666666666666667,0.0,4.166691744117409
8,12,2015,87,58,0.0,0.0,4.291623745645204
8,13,2015,84,58,0.03166666666666667,0.0,4.958321276866631
8,14,2015,68,53,0.36999999999999994,0.0,6.916619405317191
8,15,2015,73,51,0.045,0.0,4.791652681165291
8,16,2015,76,53,0.0,0.0,5.624984085463953
8,17,2015,83,54,0.0,0.0,4.874975404807926
8,18,2015,87,58,0.0,0.0,3.708306809106587
8,19,2015,87,56,0.0,0.0,3.7499855322399567
8,20,2015,72,53,0.0016666666666666668,0.0,6.5000289355200875
8,21,2015,71,52,0.018333333333333333,0.0,4.541638213405248
8,22,2015,83,53,0.0,0.0,5.749985532239958
8,23,2015,81,53,0.0,0.0,4.416694637669418
8,24,2015,73,53,0.0,0.0,3.1666917441174087
8,25,2015,75,49,0.0,0.0,5.166668595701339
8,26,2015,81,53,0.0,0.0,4.083345872058705
8,27,2015,80,57,0.0016666666666666668,0.0,4.333337191402678
8,28,2015,71,56,0.47000000000000003,0.0,3.7499971064479913
8,29,2015,66,52,0.9333333333333335,0.0,9.625053530712162
8,30,2015,65,53,0.7500000000000001,0.0,7.666662808597322
8,31,2015,67,55,0.315,0.0,8.750020254864062
9,1,2015,64,49,0.38333333333333336,0.0,8.79169897799743
9,2,2015,63,46,0.25,0.0,7.458338638178684
9,3,2015,63,45,0.08,0.0,5.875010127432031
9,4,2015,65,44,0.016666666666666666,0.0,5.541707658653457
9,5,2015,67,48,0.0016666666666666668,0.0,4.208266299378465
9,6,2015,62,51,0.21,0.0,3.7916989779974304
9,7,2015,70,51,0.01,0.0,2.7083299575226567
9,8,2015,70,53,0.01,0.0,3.5000057871040178
9,9,2015,72,52,0.0,0.0,3.9166657021493303
9,10,2015,76,55,0.0,0.0,5.291670042477344
9,11,2015,87,58,0.0,0.0,2.2500144677600438
9,12,2015,81,55,0.0,0.0,4.000011574208035
9,13,2015,71,50,0.0,0.0,3.125024595192074
9,14,2015,62,48,0.13666666666666666,0.0,3.1665991504531306
9,15,2015,61,48,0.08666666666666666,0.0,6.0
9,16,2015,65,50,0.17,0.0,4.458338638178683
9,17,2015,60,50,0.9833333333333333,0.0,6.083345872058704
9,18,2015,66,52,0.07166666666666666,0.0,4.791664255373327
9,19,2015,70,55,0.005,0.0,3.9999768515839307
9,20,2015,66,49,0.4083333333333333,0.0,7.166714892533479
