month,day,year,hi,lo,liquid,snow,wind
4,24,2015,32,22,0.6866666666666666,6.203333333333334,11.37503906295212
4,25,2015,30,24,0.14166666666666666,1.255,6.666697531221427
4,26,2015,36,31,0.011666666666666667,0.13999999999999999,5.791594810125117
4,27,2015,49,41,0.018333333333333333,0.0,9.083299575226565
4,28,2015,43,28,0.16833333333333333,0.265,10.375027488744083
4,29,2015,36,28,0.13999999999999999,0.9533333333333334,8.541661361821317
4,30,2015,38,31,0.04833333333333333,0.5183333333333333,11.291693190893414
5,1,2015,40,30,0.04,0.21999999999999997,11.12498987256797
5,2,2015,43,33,0.0,0.0,5.083369020474774
5,3,2015,51,36,0.0,0.0,3.8333429785066957
5,4,2015,45,26,0.03,0.13166666666666668,8.333325617194644
5,5,2015,37,26,0.5716666666666667,5.693333333333333,8.208382041458814
5,6,2015,40,30,0.06666666666666667,0.5266666666666666,8.624984085463954
5,7,2015,50,36,0.0,0.0,7.499982638687948
5,8,2015,53,41,0.0,0.0,9.958367573698771
5,9,2015,55,45,0.0,0.0,4.583316936538617
5,10,2015,53,39,0.075,0.0,4.8333314042986615
5,11,2015,50,40,0.47,0.0,6.374969617703909
5,12,2015,47,37,0.2166666666666667,0.0,8.83335455271473
5,13,2015,42,35,0.28,1.2200000000000002,6.625065104920196
5,14,2015,44,35,0.17333333333333334,0.0,4.375004340328013
5,15,2015,50,38,0.021666666666666667,0.0,5.208324170418639
5,16,2015,45,39,0.043333333333333335,0.0,6.666639660181253
5,17,2015,48,36,0.18,0.0,7.958355999490736
5,18,2015,54,36,0.17833333333333332,0.0,7.208347318834709
5,19,2015,55,44,0.06,0.0,2.9583328510746654
5,20,2015,54,45,0.04,0.0,2.8749985532239957
5,21,2015,56,43,0.06166666666666667,0.0,2.7916526811652913
5,22,2015,50,43,0.21166666666666667,0.0,4.625018808088057
5,23,2015,52,44,0.14,0.0,2.833331404298661
5,24,2015,49,42,0.030000000000000002,0.0,4.374969617703909
5,25,2015,45,42,0.05833333333333334,0.0,6.12498987256797
5,26,2015,47,42,0.11833333333333335,0.0,5.8333661269227655
5,27,2015,55,45,0.08,0.0,6.625007233880022
5,28,2015,59,46,0.05,0.0,3.4999710644799134
5,29,2015,58,46,0.05,0.0,4.291681616685379
5,30,2015,58,43,0.0,0.0,6.875033275848101
5,31,2015,57,46,0.011666666666666667,0.0,3.2916584682693086
6,1,2015,54,41,0.355,0.0,6.166668595701339
6,2,2015,45,37,0.5466666666666667,0.0,9.583363233370758
6,3,2015,43,39,0.11833333333333335,0.0,6.625007233880022
6,4,2015,51,43,0.018333333333333333,0.0,7.708341531730692
6,5,2015,61,47,0.0,0.0,7.04167872313337
6,6,2015,66,51,0.0,0.0,5.374992766119979
6,7,2015,68,52,0.0,0.0,6.208335744626674
6,8,2015,67,48,0.0,0.0,7.458315489762613
6,9,2015,64,49,0.0,0.0,8.416683063461383
6,10,2015,62,47,0.0,0.0,8.249945022511834
6,11,2015,55,37,0.0,0.0,11.416694637669417
6,12,2015,47,37,0.0,0.0,11.04170187154944
6,13,2015,53,41,0.0,0.0,4.625030382296091
6,14,2015,58,45,0.0,0.0,5.624984085463953
6,15,2015,62,46,0.0,0.0,7.375027488744083
6,16,2015,55,44,0.0,0.0,7.04167872313337
6,17,2015,53,43,0.0,0.0,6.875010127432031
6,18,2015,51,39,0.021666666666666667,0.0,6.708318383314622
6,19,2015,43,37,0.08666666666666667,0.0,9.83335455271473
6,20,2015,51,41,0.0,0.0,5.916677276357365
6,21,2015,55,43,0.02,0.0,7.9166888505654
6,22,2015,53,43,0.041666666666666664,0.0,5.749985532239958
6,23,2015,55,45,0.018333333333333333,0.0,6.375039062952117
6,24,2015,59,49,0.0,0.0,4.708341531730691
6,25,2015,63,50,0.0,0.0,4.458350212386717
6,26,2015,69,61,0.0,0.0,4.625007233880022
