month,day,year,hi,lo,liquid,snow,wind
4,24,2015,44,25,0.11000000000000001,0.9,3.750020254864061
4,25,2015,47,28,0.14,1.02,2.3749927661199783
4,26,2015,48,24,0.060000000000000005,0.75,4.750008680656026
4,27,2015,58,28,0.0,0.0,2.000011574208035
4,28,2015,66,30,0.0,0.0,2.7499971064479913
4,29,2015,60,26,0.0,0.0,5.375027488744083
4,30,2015,58,26,0.0,0.0,3.7500086806560264
5,1,2015,62,29,0.0,0.0,4.500017361312052
5,2,2015,63,30,0.0,0.0,4.625030382296091
5,3,2015,61,31,0.0,0.0,4.250014467760043
5,4,2015,65,34,0.01,0.0,3.750020254864061
5,5,2015,59,28,0.04,0.0,5.999976851583931
5,6,2015,52,31,0.08,0.51,3.3749927661199783
5,7,2015,52,32,0.18000000000000002,1.3299999999999998,3.7500086806560264
5,8,2015,53,29,0.13,1.06,5.749997106447991
5,9,2015,53,25,0.0,0.0,7.625041956504127
5,10,2015,55,28,0.0,0.0,6.750031829072096
5,11,2015,56,31,0.05,0.0,5.625007233880021
5,12,2015,57,31,0.24,0.0,9.624984085463952
5,13,2015,54,31,0.07,0.24,7.000034722624105
5,14,2015,56,34,0.16,0.0,7.7500549774881655
5,15,2015,52,35,0.7300000000000001,0.0,4.875010127432031
5,16,2015,52,34,0.39999999999999997,0.91,4.624984085463953
5,17,2015,51,34,0.25,0.4,2.7499971064479913
5,18,2015,52,35,0.2,0.0,3.9999768515839307
5,19,2015,55,32,0.39999999999999997,0.0,2.6250072338800217
5,20,2015,54,34,0.32,0.0,3.249979745135939
5,21,2015,56,35,0.28,0.0,2.6250188080880568
5,22,2015,57,38,0.25,0.0,3.5000057871040178
5,23,2015,57,34,0.21000000000000002,0.0,4.250026041968079
5,24,2015,58,34,0.06,0.0,4.374981191911943
5,25,2015,59,36,0.03,0.0,3.4999942128959827
5,26,2015,54,34,0.06,0.0,4.499982638687948
5,27,2015,54,34,0.1,0.0,4.499982638687948
5,28,2015,59,35,0.12000000000000001,0.0,4.749985532239957
5,29,2015,63,38,0.01,0.0,5.625007233880021
5,30,2015,67,42,0.02,0.0,7.375027488744083
5,31,2015,72,44,0.02,0.0,5.500017361312053
6,1,2015,62,37,0.31,0.0,8.249979745135938
6,2,2015,55,34,0.07,0.0,4.625018808088057
6,3,2015,58,35,0.11,0.0,4.874975404807926
6,4,2015,61,38,0.11000000000000001,0.0,4.124943575735831
6,5,2015,65,41,0.28,0.0,5.499994212895983
6,6,2015,63,43,0.16,0.0,5.125001446776004
6,7,2015,72,44,0.0,0.0,4.125001446776005
6,8,2015,76,47,0.03,0.0,2.9999768515839302
6,9,2015,76,49,0.14,0.0,5.625007233880021
6,10,2015,71,44,0.31,0.0,3.375004340328013
6,11,2015,73,43,0.0,0.0,3.2500028935520087
6,12,2015,69,36,0.0,0.0,9.74999710644799
6,13,2015,65,34,0.0,0.0,4.7500202548640615
6,14,2015,67,37,0.0,0.0,3.1250130209840394
6,15,2015,72,39,0.01,0.0,3.5000173613120524
6,16,2015,69,39,0.0,0.0,4.624995659671987
6,17,2015,71,43,0.0,0.0,4.875010127432031
6,18,2015,74,42,0.0,0.0,10.375004340328013
6,19,2015,65,38,0.0,0.0,7.1249667241519
6,20,2015,67,39,0.0,0.0,5.250002893552009
6,21,2015,72,39,0.0,0.0,7.000000000000001
6,22,2015,68,40,0.0,0.0,3.999988425791965
6,23,2015,70,39,0.0,0.0,8.87498697901596
6,24,2015,75,45,0.0,0.0,3.624995659671987
6,25,2015,77,43,0.0,0.0,5.749962383823887
6,26,2015,82,51,0.0,0.0,4.125001446776005
6,27,2015,84,52,0.0,0.0,3.0000231484160698
6,28,2015,87,58,0.0,0.0,2.874986979015961
6,29,2015,85,52,0.11,0.0,6.499994212895984
6,30,2015,81,45,0.0,0.0,4.125036169400109
7,1,2015,82,49,0.0,0.0,3.8750332758481
7,2,2015,84,47,0.0,0.0,3.624984085463952
7,3,2015,85,50,0.0,0.0,3.7500318290720958
7,4,2015,82,49,0.0,0.0,3.2500260419680784
7,5,2015,77,45,0.02,0.0,9.249991319343973
7,6,2015,74,44,0.01,0.0,8.375004340328013
7,7,2015,73,45,0.02,0.0,7.000000000000001
7,8,2015,71,46,0.24,0.0,8.249979745135938
7,9,2015,70,48,0.43,0.0,5.499994212895983
7,10,2015,65,44,0.35,0.0,4.625018808088057
7,11,2015,62,43,0.22,0.0,6.875010127432031
7,12,2015,65,43,0.11,0.0,3.8750101274320308
7,13,2015,63,45,0.12000000000000002,0.0,5.250026041968079
7,14,2015,65,44,0.15000000000000002,0.0,3.7499971064479913
7,15,2015,68,43,0.07,0.0,5.124955149943865
