month,day,year,hi,lo,liquid,snow,wind
4,24,2015,54,35,0.011666666666666667,0.0,8.375050637160154
4,25,2015,53,29,0.09666666666666666,0.0,7.208382041458814
4,26,2015,63,38,0.0,0.0,4.0833574462667395
4,27,2015,75,44,0.0,0.0,3.9583328510746654
4,28,2015,69,39,0.01,0.0,8.041644000509265
4,29,2015,61,32,0.0,0.0,7.87505642426417
4,30,2015,69,37,0.0,0.0,3.291681616685379
5,1,2015,75,40,0.0,0.0,5.583363233370757
5,2,2015,71,36,0.0,0.0,5.0833574462667395
5,3,2015,76,40,0.0,0.0,4.458350212386717
5,4,2015,75,40,0.0,0.0,6.750008680656026
5,5,2015,61,34,0.0,0.0,8.000034722624104
5,6,2015,56,33,0.02,0.0,7.416694637669417
5,7,2015,64,33,0.008333333333333333,0.0,10.87505642426417
5,8,2015,69,39,0.0,0.0,9.91671199898147
5,9,2015,74,37,0.0,0.0,8.166738040949548
5,10,2015,76,47,0.011666666666666667,0.0,4.249979745135939
5,11,2015,61,39,0.22999999999999998,0.0,7.541672936029353
5,12,2015,58,37,0.2783333333333334,0.0,8.000057871040175
5,13,2015,61,42,0.030000000000000002,0.0,6.750008680656026
5,14,2015,59,47,0.165,0.0,5.541661361821317
5,15,2015,67,41,0.028333333333333335,0.0,10.37503906295212
5,16,2015,67,42,0.0,0.0,8.791733700621535
5,17,2015,71,46,0.05333333333333334,0.0,4.916677276357365
5,18,2015,68,49,0.18833333333333335,0.0,7.375027488744083
5,19,2015,71,46,0.12666666666666668,0.0,8.416706211877452
5,20,2015,70,51,0.15166666666666667,0.0,5.083345872058705
5,21,2015,71,49,0.2316666666666667,0.0,4.708329957522657
5,22,2015,68,46,0.185,0.0,6.750031829072096
5,23,2015,70,43,0.02,0.0,6.333371914026783
5,24,2015,76,42,0.0,0.0,4.416683063461383
5,25,2015,74,41,0.0,0.0,5.333360339818748
5,26,2015,76,46,0.0,0.0,6.416694637669418
5,27,2015,75,49,0.0,0.0,4.708353105938726
5,28,2015,80,53,0.0,0.0,3.1666570214933043
5,29,2015,86,55,0.02,0.0,4.833342978506696
5,30,2015,82,53,0.02,0.0,5.00002314841607
5,31,2015,83,52,0.07666666666666667,0.0,3.9166657021493303
6,1,2015,67,48,0.17833333333333337,0.0,7.541696084445422
6,2,2015,64,46,0.07833333333333332,0.0,6.5000289355200875
6,3,2015,66,44,0.01,0.0,5.500017361312053
6,4,2015,73,47,0.0,0.0,5.791675829581361
6,5,2015,82,48,0.0,0.0,6.91671199898147
6,6,2015,86,49,0.0,0.0,5.5416845102373875
6,7,2015,93,51,0.0,0.0,4.625018808088057
6,8,2015,98,59,0.0,0.0,4.916677276357365
6,9,2015,95,50,0.028333333333333335,0.0,6.5000289355200875
6,10,2015,89,44,0.0,0.0,7.500040509728122
6,11,2015,87,43,0.0,0.0,8.666720679637496
6,12,2015,80,44,0.0,0.0,8.750054977488166
6,13,2015,78,45,0.0,0.0,7.250026041968078
6,14,2015,80,49,0.0,0.0,5.583351659162722
6,15,2015,82,50,0.0,0.0,6.8333314042986615
6,16,2015,85,51,0.0,0.0,6.833354552714731
6,17,2015,83,51,0.0,0.0,6.750031829072096
6,18,2015,80,47,0.0,0.0,7.583351659162722
6,19,2015,76,48,0.0,0.0,7.0833574462667395
6,20,2015,83,47,0.0,0.0,5.291658468269309
6,21,2015,82,47,0.0,0.0,7.250026041968078
6,22,2015,83,45,0.0,0.0,6.625018808088057
6,23,2015,84,51,0.0,0.0,5.291670042477344
6,24,2015,87,53,0.0,0.0,5.500017361312053
6,25,2015,93,57,0.0,0.0,5.0416671489253355
6,26,2015,100,62,0.01,0.0,5.208347318834709
6,27,2015,102,68,0.03833333333333334,0.0,5.750008680656026
6,28,2015,97,62,0.06,0.0,6.999965277375896
6,29,2015,94,56,0.008333333333333333,0.0,7.500028935520087
6,30,2015,94,59,0.0,0.0,7.000023148416069
7,1,2015,99,59,0.0,0.0,5.166703318325444
7,2,2015,99,62,0.0,0.0,5.500005787104017
