month,day,year,hi,lo,liquid,snow,wind
4,24,2015,38,27,0.4616666666666666,3.513333333333333,12.875021701640067
4,25,2015,33,29,0.08333333333333333,0.765,6.208370467250779
4,26,2015,42,39,0.03333333333333333,0.0,4.541696084445422
4,27,2015,57,42,0.049999999999999996,0.0,9.24991029988773
4,28,2015,46,32,0.11333333333333334,0.09833333333333333,8.291681616685379
4,29,2015,41,32,0.10833333333333334,0.8416666666666667,8.125047743608144
4,30,2015,47,37,0.016666666666666666,0.25833333333333336,6.000057871040175
5,1,2015,48,35,0.0,0.0,5.500017361312053
5,2,2015,49,38,0.0,0.0,5.5000289355200875
5,3,2015,56,40,0.0,0.0,4.708364680146762
5,4,2015,50,31,0.028333333333333335,0.051666666666666666,6.624984085463952
5,5,2015,39,30,0.37,1.5883333333333334,8.333406636650887
5,6,2015,42,33,0.12833333333333335,0.975,5.458327063970648
5,7,2015,52,39,0.0,0.0,6.916700424773436
5,8,2015,59,44,0.0,0.0,6.499994212895984
5,9,2015,64,47,0.0,0.0,8.0
5,10,2015,58,38,0.021666666666666667,0.0,5.999988425791966
5,11,2015,47,36,0.15833333333333333,0.0,6.2916584682693095
5,12,2015,46,37,0.5966666666666667,0.0,5.958309702658595
5,13,2015,41,37,0.8833333333333334,0.0,6.041713445757474
5,14,2015,48,39,0.1433333333333333,0.0,5.166714892533478
5,15,2015,50,40,0.075,0.0,5.9166425537332605
5,16,2015,44,43,0.15000000000000002,0.0,6.458361786594753
5,17,2015,53,43,0.04,0.0,5.208324170418639
5,18,2015,60,43,0.03833333333333334,0.0,6.500017361312052
5,19,2015,57,48,0.1,0.0,3.7500086806560264
5,20,2015,58,49,0.05,0.0,4.416683063461383
5,21,2015,61,47,0.10166666666666667,0.0,3.1250130209840394
5,22,2015,52,45,0.08833333333333332,0.0,5.833354552714731
5,23,2015,50,46,0.07999999999999999,0.0,5.125013020984039
5,24,2015,50,45,0.04833333333333333,0.0,5.625018808088058
5,25,2015,48,44,0.04,0.0,6.458338638178683
5,26,2015,49,47,0.028333333333333335,0.0,5.5416845102373875
5,27,2015,59,48,0.02,0.0,6.375004340328013
5,28,2015,64,52,0.01,0.0,5.041690297341405
5,29,2015,64,52,0.02,0.0,4.208358893042744
5,30,2015,62,47,0.0,0.0,3.95836757369877
5,31,2015,64,49,0.011666666666666667,0.0,3.6250303822960914
6,1,2015,53,42,0.7283333333333334,0.0,4.166657021493305
6,2,2015,45,40,0.325,0.0,5.916654127941296
6,3,2015,47,42,0.12499999999999999,0.0,6.083369020474774
6,4,2015,53,47,0.0,0.0,6.375039062952117
6,5,2015,62,52,0.0,0.0,6.208358893042744
6,6,2015,72,54,0.0,0.0,5.708364680146762
6,7,2015,74,57,0.0,0.0,5.000034722624105
6,8,2015,72,55,0.0,0.0,5.374992766119979
6,9,2015,70,51,0.0,0.0,6.750043403280131
6,10,2015,65,49,0.0,0.0,7.500017361312053
6,11,2015,60,42,0.0,0.0,7.749997106447991
6,12,2015,53,39,0.0,0.0,9.416717786085487
6,13,2015,56,43,0.0,0.0,6.375015914536048
6,14,2015,65,49,0.0,0.0,6.749973958031922
6,15,2015,70,48,0.0,0.0,9.083345872058704
6,16,2015,59,45,0.0,0.0,6.625007233880022
6,17,2015,56,45,0.0,0.0,6.625041956504126
6,18,2015,59,41,0.0016666666666666668,0.0,7.0000115742080355
6,19,2015,50,42,0.08833333333333333,0.0,6.166668595701339
6,20,2015,57,47,0.0,0.0,6.041690297341405
6,21,2015,59,45,0.0,0.0,5.208347318834709
6,22,2015,57,45,0.021666666666666667,0.0,4.833342978506696
6,23,2015,60,48,0.0,0.0,5.208347318834709
6,24,2015,65,50,0.0,0.0,5.208335744626674
6,25,2015,72,54,0.0,0.0,5.041690297341405
6,26,2015,75,66,0.0,0.0,5.874998553223996
6,27,2015,82,72,0.021666666666666667,0.0,5.416694637669417
