month,day,year,hi,lo,liquid,snow,wind
4,24,2015,17,8,0.7516666666666667,12.468333333333334,11.625041956504127
4,25,2015,19,8,0.06499999999999999,0.8883333333333334,14.041748168381579
4,26,2015,32,27,0.021666666666666667,0.13999999999999999,6.708318383314622
4,27,2015,44,30,0.049999999999999996,0.5916666666666667,12.916526811652913
4,28,2015,33,16,0.14333333333333334,1.2616666666666667,21.00006944524821
4,29,2015,19,13,0.09,1.27,17.083334297850673
4,30,2015,34,20,0.008333333333333333,0.09999999999999999,10.791629532749223
5,1,2015,31,21,0.0,0.0,19.7084109769789
5,2,2015,35,23,0.0,0.0,4.875044850056135
5,3,2015,40,23,0.0,0.0,3.4999942128959827
5,4,2015,36,13,0.016666666666666666,0.185,11.416636766629244
5,5,2015,29,7,0.435,4.335,21.70843412539497
5,6,2015,27,12,0.09666666666666666,1.3683333333333334,12.416613618213175
5,7,2015,36,18,0.0,0.0,10.16669174411741
5,8,2015,36,20,0.0,0.0,7.125024595192074
5,9,2015,35,23,0.0,0.0,6.4583154897626125
5,10,2015,33,22,0.17500000000000002,1.755,7.3333487656107135
5,11,2015,31,17,0.5933333333333333,7.086666666666666,17.708272086482484
5,12,2015,27,19,0.6933333333333334,7.505,15.333371914026783
5,13,2015,27,20,0.73,7.639999999999999,10.750054977488166
5,14,2015,25,21,0.12166666666666666,1.2016666666666669,4.958355999490735
5,15,2015,34,26,0.03166666666666666,0.325,5.749962383823887
5,16,2015,36,22,0.05,0.56,9.291681616685379
5,17,2015,38,22,0.27,2.1999999999999997,14.374958043495875
5,18,2015,40,23,0.15833333333333333,1.2799999999999998,9.041644000509265
5,19,2015,39,28,0.13,0.9,5.333360339818748
5,20,2015,36,29,0.04,0.43,5.625018808088058
5,21,2015,35,28,0.27666666666666667,1.9416666666666669,5.333360339818748
5,22,2015,33,26,0.17666666666666667,1.2583333333333335,4.166680169909374
5,23,2015,38,24,0.10833333333333334,0.8166666666666668,3.416659915045313
5,24,2015,39,23,0.04833333333333333,0.42,6.0833111494346
5,25,2015,37,23,0.05,0.44,8.20832417041864
5,26,2015,38,25,0.06833333333333333,0.53,9.333348765610713
5,27,2015,38,26,0.04,0.31,7.916677276357366
5,28,2015,45,30,0.03,0.24,4.458257618722439
5,29,2015,47,36,0.06,0.43,10.95832127686663
5,30,2015,46,25,0.0,0.0,7.916619405317191
5,31,2015,40,27,0.015,0.15333333333333332,10.541661361821317
6,1,2015,35,23,0.5950000000000001,4.37,8.416659915045313
6,2,2015,30,18,0.375,3.6783333333333337,14.583340084954688
6,3,2015,34,31,0.91,7.111666666666667,11.333441359274993
6,4,2015,41,30,0.008333333333333333,0.09999999999999999,3.4999942128959827
6,5,2015,50,29,0.0,0.0,5.6249956596719874
6,6,2015,49,39,0.0,0.0,3.6249840854639523
6,7,2015,55,37,0.0,0.0,3.6666396601812523
6,8,2015,55,36,0.0,0.0,6.208335744626674
6,9,2015,51,38,0.0,0.0,8.458280767138508
6,10,2015,50,33,0.0,0.0,7.583282213914513
6,11,2015,42,31,0.0,0.0,11.124955149943865
6,12,2015,39,22,0.0,0.0,12.416706211877452
6,13,2015,35,23,0.0,0.0,6.166726466741514
6,14,2015,39,26,0.0,0.0,7.29163531985324
6,15,2015,42,28,0.0,0.0,10.375027488744083
6,16,2015,42,28,0.0,0.0,5.541615064989179
6,17,2015,41,26,0.0,0.0,5.374946469287839
6,18,2015,35,22,0.0016666666666666668,0.02,13.458246044514405
6,19,2015,32,27,0.06833333333333333,0.54,12.958379147906806
6,20,2015,38,31,0.0,0.0,5.874975404807926
6,21,2015,44,25,0.0,0.0,7.125001446776005
6,22,2015,37,26,0.021666666666666667,0.12,8.499994212895983
6,23,2015,40,31,0.0,0.0,7.666593363349113
6,24,2015,44,36,0.0,0.0,4.9582981284505605
6,25,2015,50,37,0.0,0.0,5.666628085973217
6,26,2015,55,51,0.0,0.0,8.624995659671987
6,27,2015,62,57,0.041666666666666664,0.0,8.624972511255917
6,28,2015,56,47,0.17833333333333332,0.0,10.708387828562831
6,29,2015,50,41,0.11166666666666668,0.0,7.416648340837279
6,30,2015,55,47,0.0,0.0,3.958298128450561
7,1,2015,54,43,0.0,0.0,3.6249840854639523
7,2,2015,56,47,0.0,0.0,8.166657021493304
7,3,2015,62,45,0.0,0.0,7.791617958541187
7,4,2015,61,49,0.0,0.0,9.416706211877452
7,5,2015,54,43,0.0,0.0,4.333256171946434
7,6,2015,56,43,0.0,0.0,5.458315489762613
7,7,2015,53,39,0.0,0.0,2.2083241704186394
7,8,2015,59,41,0.0,0.0,4.125001446776005
7,9,2015,57,43,0.02,0.0,3.416671489253348
7,10,2015,53,38,0.07166666666666667,0.0,6.00002314841607
7,11,2015,47,34,0.04166666666666667,0.0,7.624984085463953
7,12,2015,42,30,0.17666666666666667,1.04,8.20834731883471
7,13,2015,38,28,0.08499999999999999,0.6866666666666666,9.83335455271473
7,14,2015,43,33,0.0,0.0,7.375004340328013
7,15,2015,48,29,0.0,0.0,8.791606384333152
7,16,2015,46,28,0.0,0.0,12.583305362330583
7,17,2015,50,34,0.0,0.0,3.708283660690517
7,18,2015,54,35,0.0,0.0,5.2500028935520096
7,19,2015,57,38,0.0,0.0,5.958321276866631
7,20,2015,54,34,0.0,0.0,9.375027488744083
7,21,2015,49,30,0.011666666666666667,0.0,10.541684510237388
7,22,2015,41,28,0.051666666666666666,0.38,7.958379147906805
7,23,2015,49,29,0.008333333333333333,0.0,7.291670042477344
7,24,2015,49,30,0.07999999999999999,0.455,9.208335744626675
7,25,2015,32,24,0.095,0.7183333333333334,14.291681616685379
7,26,2015,36,24,0.19833333333333333,1.5850000000000002,5.791641106957257
7,27,2015,48,33,0.045,0.49833333333333335,8.250014467760044
7,28,2015,54,44,0.0,0.0,3.1666917441174087
7,29,2015,58,39,0.0,0.0,3.249991319343974
7,30,2015,62,46,0.0,0.0,4.499959490271878
7,31,2015,65,49,0.0,0.0,4.333325617194644
8,1,2015,64,48,0.0,0.0,3.624995659671987
8,2,2015,65,43,0.0016666666666666668,0.0,2.16659915045313
8,3,2015,55,37,0.018333333333333333,0.0,10.04167872313337
8,4,2015,54,36,0.0,0.0,10.333383488234817
8,5,2015,46,35,0.07333333333333333,0.53,9.916619405317192
8,6,2015,47,37,0.034999999999999996,0.2866666666666666,9.958390722114839
8,7,2015,52,37,0.0,0.0,5.458350212386718
8,8,2015,51,35,0.045,0.2733333333333333,5.3333487656107135
8,9,2015,52,33,0.056666666666666664,0.5466666666666666,10.416683063461383
8,10,2015,57,35,0.034999999999999996,0.0,10.333256171946434
8,11,2015,60,45,0.13166666666666665,0.0,11.04167872313337
8,12,2015,61,43,0.021666666666666667,0.0,7.500052083936157
8,13,2015,60,36,0.16166666666666668,0.0,4.0833227236426355
8,14,2015,48,33,0.5900000000000001,0.81,8.041562981053021
8,15,2015,50,36,0.05333333333333334,0.09999999999999999,10.333395062442852
8,16,2015,53,39,0.0,0.0,9.000023148416071
8,17,2015,59,45,0.0,0.0,6.1249667241519
8,18,2015,61,47,0.0,0.0,5.083322723642635
8,19,2015,62,45,0.0,0.0,4.208324170418639
8,20,2015,56,38,0.0033333333333333335,0.0,12.1249667241519
8,21,2015,49,36,0.058333333333333334,0.0,12.8750332758481
8,22,2015,55,41,0.0,0.0,7.666651234389287
8,23,2015,56,41,0.0,0.0,4.16664544728527
8,24,2015,52,40,0.0,0.0,5.208347318834709
8,25,2015,55,36,0.0,0.0,5.333302468778574
8,26,2015,54,39,0.0,0.0,7.999942128959826
8,27,2015,50,38,0.0,0.0,8.791629532749223
8,28,2015,49,28,0.455,3.2183333333333333,16.708376254354796
8,29,2015,41,24,1.775,9.160000000000002,23.749985532239958
8,30,2015,38,25,2.265,15.85833333333333,17.9583444252827
8,31,2015,42,25,0.2933333333333334,1.7550000000000001,14.41667148925335
9,1,2015,48,28,0.24000000000000002,1.6733333333333333,14.791513790668873
9,2,2015,33,20,0.455,3.646666666666667,12.750031829072096
9,3,2015,34,21,0.8533333333333334,7.618333333333333,7.04170187154944
9,4,2015,35,24,0.25833333333333336,2.11,6.958274980034491
9,5,2015,43,30,0.0016666666666666668,0.02,11.833319830090625
9,6,2015,38,30,0.5383333333333333,3.931666666666667,10.666720679637496
9,7,2015,44,29,0.018333333333333333,0.12,3.916630979525226
9,8,2015,50,41,0.0,0.0,9.625065104920196
9,9,2015,52,41,0.0,0.0,4.541696084445422
9,10,2015,57,46,0.0,0.0,3.458292341346543
9,11,2015,62,48,0.0,0.0,2.6249609370478826
9,12,2015,58,42,0.0,0.0,7.541638213405249
9,13,2015,49,31,0.0,0.0,13.83335455271473
9,14,2015,30,14,0.14333333333333334,1.5233333333333334,8.958274980034492
9,15,2015,32,19,0.21666666666666667,1.9749999999999999,9.250049190384148
9,16,2015,31,20,1.1016666666666666,12.753333333333334,9.749927661199782
9,17,2015,32,27,1.5033333333333334,14.331666666666667,13.166714892533479
9,18,2015,41,33,0.016666666666666666,0.16666666666666666,7.541603490781143
9,19,2015,45,34,0.005,0.0,8.708295234898552
9,20,2015,44,29,0.15333333333333332,0.0,19.458408083426892
10,1,2015,44,28,0.0,0.0,5.2916931908934135
10,2,2015,38,23,0.08833333333333333,0.575,7.458350212386717
10,3,2015,41,28,0.051666666666666666,0.325,11.916584682693086
10,4,2015,46,35,0.0,0.0,9.458384935010821
10,5,2015,50,33,0.0,0.0,7.249991319343974
10,6,2015,46,35,0.0,0.0,9.791617958541186
10,7,2015,43,35,0.39,1.3,15.00002314841607
10,8,2015,48,34,0.0,0.0,14.583340084954688
10,9,2015,48,37,0.6433333333333334,0.03333333333333333,19.958309702658596
10,10,2015,37,26,2.256666666666667,15.975000000000001,21.583363233370758
10,11,2015,37,29,0.5166666666666667,4.658333333333333,11.541545619740969
10,12,2015,42,32,0.06666666666666667,0.4816666666666667,15.458315489762615
10,13,2015,44,36,0.018333333333333333,0.09999999999999999,14.708364680146762
10,14,2015,48,42,0.0,0.0,5.916688850565401
10,15,2015,53,42,0.0,0.0,6.208266299378465
10,16,2015,54,35,0.0016666666666666668,0.0,6.708306809106587
10,17,2015,42,31,0.18666666666666665,1.1066666666666667,6.95836757369877
10,18,2015,41,29,0.8683333333333335,6.073333333333333,6.874998553223996
10,19,2015,40,32,0.21,1.4866666666666668,11.958344425282702
10,20,2015,44,35,0.008333333333333333,0.09999999999999999,4.499994212895983
10,21,2015,42,30,0.0,0.0,5.12503616940011
10,22,2015,34,25,0.018333333333333333,0.21999999999999997,3.750020254864061
10,23,2015,35,24,0.0,0.0,2.7500086806560264
10,24,2015,32,24,0.05,0.43,9.083276426810496
10,25,2015,36,27,0.9816666666666667,7.015000000000001,13.874894385351684
10,26,2015,32,31,2.023333333333333,18.17666666666667,15.666778550677671
10,27,2015,42,30,0.006666666666666667,0.051666666666666666,7.291531151980926
10,28,2015,34,26,0.7116666666666667,5.170000000000001,13.749904512783713
10,29,2015,35,30,0.5566666666666668,4.0216666666666665,15.624937788631813
10,30,2015,37,32,7.688333333333333,53.85833333333333,34.166749615157585
10,31,2015,32,18,6.846666666666666,54.50833333333333,34.24995659671987
11,1,2015,19,14,3.2933333333333334,42.04,33.66677855067767
11,2,2015,20,12,0.55,9.189999999999998,15.95841387053091
11,3,2015,20,15,0.043333333333333335,0.6366666666666666,10.499971064479913
11,4,2015,31,17,0.043333333333333335,0.3666666666666667,5.833389275338836
11,5,2015,27,20,0.28,2.8600000000000003,9.250026041968079
11,6,2015,37,24,0.04666666666666667,0.5333333333333333,10.4998668966076
11,7,2015,31,18,1.5666666666666667,14.473333333333333,24.041759742589615
11,8,2015,18,6,0.6333333333333333,8.309999999999999,11.541753955485596
11,9,2015,17,11,0.55,9.296666666666667,7.916654127941296
11,10,2015,26,12,0.3433333333333333,6.336666666666666,14.124781536823344
11,11,2015,18,12,1.1800000000000002,19.85333333333333,19.58351369807521
11,12,2015,23,23,1.9733333333333332,21.623333333333335,26.874848088519542
11,13,2015,30,22,7.133333333333333,69.24,34.583328510746654
11,14,2015,31,11,2.243333333333333,23.613333333333337,29.66673225384553
11,16,2015,22,19,2.7866666666666666,40.303333333333335,27.91656153427702
11,17,2015,30,8,7.826666666666667,74.93333333333334,50.625053530712165
11,18,2015,18,17,0.5333333333333333,7.5,26.125128763064385
11,19,2015,26,11,0.20333333333333337,2.566666666666667,11.958379147906806
11,20,2015,27,15,0.0,0.0,6.500005787104017
11,21,2015,31,23,0.0,0.0,3.7916989779974304
11,22,2015,32,15,0.0,0.0,5.874952256391856
11,23,2015,24,9,0.4633333333333333,7.003333333333333,19.833319830090627
11,24,2015,14,7,0.23,4.0633333333333335,12.958228683202352
11,25,2015,23,9,0.0,0.0,19.000011574208035
11,26,2015,23,9,0.0,0.0,8.291693190893414
11,27,2015,31,20,0.0,0.0,8.12498987256797
11,28,2015,32,20,0.0,0.0,8.541649787613283
11,29,2015,34,18,0.0,0.0,10.499982638687948
11,30,2015,26,11,0.03333333333333333,0.5766666666666667,14.708318383314621
12,1,2015,25,18,0.55,6.62,20.124781536823345
12,2,2015,28,21,1.2033333333333334,15.116666666666665,26.041539832636953
12,3,2015,25,10,3.37,41.27333333333333,35.29171633930948
12,4,2015,15,12,0.6533333333333333,10.246666666666668,24.499890045023673
12,5,2015,30,19,2.03,22.7,37.04163242630123
12,6,2015,25,18,2.73,31.77,37.16664544728527
12,7,2015,29,20,5.456666666666666,59.35333333333334,29.70826051227445
12,8,2015,30,25,6.759999999999999,58.24666666666667,44.41667148925335
12,9,2015,25,8,2.516666666666666,26.270000000000003,38.66668595701339
