month,day,year,hi,lo,liquid,snow,wind
4,24,2015,57,37,0.011666666666666667,0.0,8.875044850056135
4,25,2015,56,31,0.08666666666666667,0.0,7.708376254354796
4,26,2015,65,40,0.0,0.0,4.416694637669418
4,27,2015,77,45,0.0,0.0,3.416671489253348
4,28,2015,71,39,0.01,0.0,7.666674382805358
4,29,2015,63,35,0.0,0.0,8.08338059468281
4,30,2015,71,39,0.0,0.0,3.291693190893413
5,1,2015,77,41,0.0,0.0,5.833354552714731
5,2,2015,72,38,0.0,0.0,4.458350212386717
5,3,2015,76,42,0.0,0.0,4.083345872058705
5,4,2015,75,42,0.0,0.0,7.333314042986609
5,5,2015,61,37,0.0,0.0,8.791710552205465
5,6,2015,59,36,0.03,0.0,6.875033275848101
5,7,2015,67,36,0.0,0.0,9.666732253845531
5,8,2015,71,40,0.0,0.0,9.000057871040175
5,9,2015,74,38,0.0,0.0,7.500052083936157
5,10,2015,77,45,0.011666666666666667,0.0,4.0833227236426355
5,11,2015,62,41,0.155,0.0,9.04170187154944
5,12,2015,61,37,0.30166666666666664,0.0,8.375050637160154
5,13,2015,62,43,0.030000000000000002,0.0,7.87505642426417
5,14,2015,61,42,0.051666666666666666,0.0,5.458327063970648
5,15,2015,69,41,0.01,0.0,10.250014467760044
5,16,2015,67,42,0.0,0.0,9.833389275338835
5,17,2015,72,49,0.021666666666666667,0.0,4.916677276357365
5,18,2015,71,49,0.04833333333333333,0.0,7.916700424773435
5,19,2015,74,48,0.06666666666666667,0.0,7.583363233370757
5,20,2015,73,52,0.03333333333333333,0.0,6.7917105522054655
5,21,2015,74,50,0.16833333333333333,0.0,4.249991319343974
5,22,2015,70,47,0.075,0.0,7.875021701640065
5,23,2015,70,44,0.02,0.0,8.95836757369877
5,24,2015,74,42,0.0,0.0,6.208347318834709
5,25,2015,75,44,0.0,0.0,6.750020254864061
5,26,2015,77,48,0.0,0.0,6.083369020474774
5,27,2015,77,49,0.0,0.0,4.541672936029352
5,28,2015,82,55,0.0,0.0,2.9166541279412956
5,29,2015,86,56,0.0,0.0,3.9166772763573654
5,30,2015,83,54,0.02,0.0,5.041678723133369
5,31,2015,84,55,0.06666666666666667,0.0,4.500005787104017
6,1,2015,67,48,0.15500000000000003,0.0,8.541707658653456
6,2,2015,65,46,0.06833333333333333,0.0,7.708376254354796
6,3,2015,66,43,0.01,0.0,5.583340084954687
6,4,2015,74,48,0.0,0.0,5.375015914536048
6,5,2015,82,51,0.0,0.0,6.458373360802788
6,6,2015,87,53,0.0,0.0,4.95836757369877
6,7,2015,93,57,0.0,0.0,4.125024595192074
6,8,2015,99,60,0.0,0.0,4.916677276357365
6,9,2015,95,53,0.0,0.0,6.041678723133369
6,10,2015,89,46,0.0,0.0,8.208370467250779
6,11,2015,86,46,0.0,0.0,8.541696084445423
6,12,2015,79,43,0.0,0.0,9.166726466741514
6,13,2015,79,45,0.0,0.0,6.583363233370758
6,14,2015,82,49,0.0,0.0,5.874998553223996
6,15,2015,84,51,0.0,0.0,6.874975404807927
6,16,2015,84,50,0.0,0.0,7.125013020984039
6,17,2015,84,51,0.0,0.0,7.208370467250779
6,18,2015,80,47,0.0,0.0,7.750008680656027
6,19,2015,76,47,0.0,0.0,7.625041956504127
6,20,2015,81,48,0.0,0.0,4.416659915045313
6,21,2015,81,49,0.0,0.0,6.208335744626674
6,22,2015,81,46,0.0,0.0,6.333348765610713
6,23,2015,83,52,0.0,0.0,5.458350212386718
6,24,2015,86,55,0.0,0.0,5.125013020984039
6,25,2015,93,59,0.0,0.0,5.000011574208035
6,26,2015,99,63,0.0,0.0,5.3333487656107135
6,27,2015,101,67,0.03833333333333334,0.0,5.166657021493305
6,28,2015,97,64,0.04,0.0,7.166657021493304
6,29,2015,93,59,0.016666666666666666,0.0,9.000046296832139
6,30,2015,95,59,0.0,0.0,7.0833574462667395
7,1,2015,98,63,0.0,0.0,5.333360339818748
7,2,2015,100,63,0.0,0.0,5.3750043403280126
7,3,2015,99,61,0.0,0.0,8.12503616940011
7,4,2015,97,62,0.0,0.0,6.708329957522658
7,5,2015,95,62,0.0,0.0,6.208335744626674
7,6,2015,96,61,0.0,0.0,5.0417018715494395
7,7,2015,96,60,0.0,0.0,5.708341531730691
7,8,2015,95,61,0.0,0.0,6.458350212386717
7,9,2015,91,62,0.08166666666666667,0.0,6.124943575735831
7,10,2015,85,60,0.04833333333333333,0.0,8.291681616685379
7,11,2015,81,56,0.0,0.0,8.708364680146762
7,12,2015,80,56,0.03166666666666666,0.0,4.750008680656026
7,13,2015,78,55,0.01,0.0,5.7500202548640615
7,14,2015,81,52,0.0,0.0,6.374992766119979
7,15,2015,82,53,0.0,0.0,7.916630979525226
7,16,2015,80,47,0.0,0.0,10.416717786085487
7,17,2015,80,49,0.0,0.0,5.833342978506695
7,18,2015,89,58,0.0,0.0,5.208347318834709
7,19,2015,94,57,0.0,0.0,6.041678723133369
7,20,2015,91,52,0.0,0.0,7.916700424773435
7,21,2015,84,49,0.0,0.0,8.375027488744083
7,22,2015,81,51,0.0,0.0,6.250014467760043
7,23,2015,82,50,0.0,0.0,6.2916931908934135
7,24,2015,84,53,0.0,0.0,7.583351659162722
7,25,2015,76,49,0.0,0.0,10.375085359784258
7,26,2015,73,46,0.03166666666666666,0.0,8.041678723133371
7,27,2015,75,45,0.008333333333333333,0.0,7.541707658653458
7,28,2015,84,49,0.0,0.0,4.166691744117409
7,29,2015,93,55,0.0,0.0,3.0417018715494395
7,30,2015,96,56,0.0,0.0,3.0416902973414044
7,31,2015,98,59,0.0,0.0,4.500005787104017
8,1,2015,99,61,0.0,0.0,4.500017361312052
8,2,2015,98,62,0.0016666666666666668,0.0,6.333360339818749
8,3,2015,87,56,0.028333333333333335,0.0,7.750008680656027
8,4,2015,87,52,0.0,0.0,10.208382041458814
8,5,2015,80,49,0.0,0.0,9.500017361312052
8,6,2015,81,50,0.0,0.0,6.833366126922766
8,7,2015,85,53,0.0,0.0,5.333325617194644
8,8,2015,87,55,0.0016666666666666668,0.0,7.04170187154944
8,9,2015,83,55,0.03,0.0,4.166691744117409
8,10,2015,88,57,0.06166666666666666,0.0,5.583293788122548
8,11,2015,89,58,0.028333333333333335,0.0,5.08333429785067
8,12,2015,91,58,0.0,0.0,6.583351659162722
8,13,2015,91,57,0.021666666666666667,0.0,7.333302468778575
8,14,2015,76,49,0.018333333333333333,0.0,10.416729360293521
8,15,2015,81,46,0.0,0.0,6.7500549774881655
8,16,2015,83,47,0.0,0.0,4.166668595701339
8,17,2015,87,50,0.0,0.0,3.6666743828053567
8,18,2015,92,53,0.0,0.0,4.916677276357365
8,19,2015,94,58,0.0,0.0,5.500005787104017
8,20,2015,84,50,0.0,0.0,10.666743828053566
8,21,2015,78,47,0.0,0.0,9.87505642426417
8,22,2015,84,50,0.0,0.0,5.291704765101448
8,23,2015,89,54,0.0,0.0,3.7500318290720958
8,24,2015,87,54,0.01,0.0,6.250060764592184
8,25,2015,87,52,0.01,0.0,4.2500376161761135
8,26,2015,90,57,0.0,0.0,5.000000000000001
8,27,2015,88,57,0.01,0.0,5.2500376161761135
