month,day,year,hi,lo,liquid,snow,wind
12,21,2015,37,34,1.3366666666666667,0.0,12.083299575226565
12,22,2015,38,20,2.02,0.0,13.708376254354796
12,23,2015,33,11,0.006666666666666667,0.08,4.041690297341405
12,24,2015,24,9,1.2300000000000002,11.163333333333332,10.08338059468281
12,25,2015,23,8,0.09,0.9033333333333333,8.541568768157038
12,26,2015,27,9,0.0,0.0,11.458373360802788
12,27,2015,38,16,0.01,0.10333333333333333,3.8749985532239957
12,28,2015,28,12,0.16333333333333336,1.4733333333333336,6.791548513292978
12,29,2015,32,12,0.0,0.0,6.916677276357365
12,30,2015,34,15,0.0,0.0,7.916630979525226
12,31,2015,34,14,0.0,0.0,5.208312596210605
1,1,2016,30,13,0.0,0.0,6.874998553223996
1,2,2016,37,25,0.0,0.0,7.833331404298661
1,3,2016,39,23,0.016666666666666666,0.06666666666666667,5.250002893552009
1,4,2016,37,27,0.32,0.8933333333333333,4.791606384333152
1,5,2016,35,20,1.31,6.676666666666667,9.91671199898147
